,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
21341,2,7,8,0,6,1,4,5,3,0.3629008956713484,1.7530612423846794,79.17700431046268,-1.4807272947673793e-15,5.2513549064769904e-14,"[OC-8]  Djapu (Pama-Nyungan, Yuulngu) ",oceania,real,2
21219,8,5,7,0,3,4,1,2,6,0.3629008956713484,1.7530612423846796,79.17700431046268,-1.4807272947673793e-15,5.2513549064769904e-14,"Mundari (Austroasiatic, Mundaic)",asia,real,2
21329,8,1,6,3,4,5,7,2,0,0.3629008956713484,1.7530612423846799,79.17700431046268,-1.4807272947673793e-15,5.229150445984487e-14,"Arrernte, Eastern (Pama-Nyungan, Aranda) ",oceania,real,2
21245,4,2,7,3,6,5,1,8,0,0.3629008956713482,1.7530612423846796,79.17700431046268,-1.2563746743480793e-15,5.2513549064769904e-14,"Arapaho (Algic, Algonquian) ",americas,real,2
21313,6,4,2,7,8,1,5,0,3,0.3629008956713482,1.7530612423846799,79.17700431046268,-1.2563746743480793e-15,5.262457136723242e-14,"Tamasheq, Tadraq (Afro-Asiatic, Berber)",africa,real,2
21193,7,4,0,5,3,1,2,8,6,0.3629008956713482,1.7530612423846796,79.17700431046268,-1.2563746743480793e-15,5.2513549064769904e-14,"Bantawa (Sino-Tibetan, Kiranti)",asia,real,2
21279,2,7,3,5,1,8,4,0,6,0.3629008956713482,1.7530612423846796,79.17700431046268,-1.2563746743480793e-15,5.229150445984487e-14,"Yoruba (Atlantic-Congo, Defoid)",africa,real,2
21356,1,8,7,6,2,5,3,4,0,0.3629008956713482,1.7530612423846799,79.17700431046268,-1.2563746743480793e-15,5.229150445984487e-14,"[OC-49]  Yindjibarndi  (Pama-Nyungan, Pilbara)",oceania,real,2
21182,3,4,0,5,6,1,7,8,2,0.3629008956713482,1.7530612423846796,79.17700431046268,-1.2563746743480793e-15,5.229150445984487e-14,Catalan,europe,real,2
21345,6,1,5,4,0,3,7,8,2,0.3629008956713482,1.7530612423846796,79.17700431046268,-1.2563746743480793e-15,5.2513549064769904e-14,"[OC-50]  Yuwaalaraay (Pama-Nyungan, Wiradhuric)",oceania,real,2
21270,2,6,5,7,0,4,3,8,1,0.3629008956713482,1.7530612423846796,79.17700431046268,-1.2563746743480793e-15,5.2513549064769904e-14,"[AM-44]  Trio (Cariban, Guianan)",americas,real,2
