,gamma,informativity,complexity,J
1066,25.130440432954664,0.39898495521964183,1.7527904273206147,-8.273877223471677
1067,25.043749417468085,0.39898458900953493,1.7527812402699026,-8.239288828316381
1068,24.957357454924338,0.3989842104566863,1.7527717763387611,-8.20481978289952
1069,24.87126351369792,0.3989838191916537,1.7527620283425143,-8.17046967647471
1070,24.785466565722054,0.3989834148354712,1.7527519889445762,-8.136238099737607
1071,24.69996558647645,0.39898299699944384,1.7527416506541333,-8.102124644821366
1072,24.614759554975016,0.3989825652849459,1.7527310058238117,-8.068128905292253
1073,24.529847453753725,0.39898211928321325,1.7527200466473256,-8.034250476145267
1074,24.445228268858415,0.3989816585751289,1.7527087651571105,-8.000488953799646
1075,24.360900989832714,0.39898118273101724,1.7526971532219469,-7.966843936094719
1076,24.27686460970596,0.398980691310419,1.7526852025445567,-7.933315022285374
1077,24.193118124981176,0.3989801838618763,1.7526729046592007,-7.899901813037881
1078,24.109660535623092,0.3989796599227071,1.7526602509292453,-7.866603910425568
1079,24.0264908450462,0.39897911901877725,1.7526472325447284,-7.833420917924522
1080,23.94360806010286,0.3989785606642733,1.7526338405199033,-7.800352440409428
1081,23.86101119107143,0.3989779843614665,1.7526200656907693,-7.7673980841493035
1082,23.778699251644458,0.3989773896004769,1.7526058987125936,-7.734557456803326
1083,23.69667125891689,0.398976775859033,1.7525913300574132,-7.701830167416661
1084,23.61492623337435,0.3989761426022258,1.7525763500115301,-7.669215826416277
1085,23.533463198881442,0.3989754892822659,1.7525609486729896,-7.636714045606931
1086,23.45228118267007,0.39897481533822776,1.7525451159490455,-7.604324438166939
1087,23.371379215327853,0.39897412019579814,1.7525288415536178,-7.572046618644176
1088,23.290756330786532,0.39897340326702113,1.7525121150047325,-7.539880202952089
1089,23.210411566310437,0.3989726639500273,1.752494925621955,-7.507824808365445
1090,23.13034396248499,0.39897190162877894,1.752477262523808,-7.475880053516574
1091,23.050552563205247,0.3989711156727962,1.7524591146251796,-7.44404555839125
1092,22.971036415664493,0.39897030543688383,1.7524404706347219,-7.412320944324721
1093,22.891794570342842,0.3989694702608584,1.752421319052237,-7.38070583399784
1094,22.812826080995926,0.3989686094692666,1.7524016481660543,-7.3491998514331085
1095,22.734130004643568,0.3989677223711017,1.7523814460503946,-7.317802621990772
1096,22.65570540155854,0.398966808259517,1.7523607005627297,-7.286513772364979
1097,22.577551335255336,0.3989658664115332,1.7523393993411271,-7.255332930579885
1098,22.499666872479,0.39896489608774566,1.7523175298015905,-7.2242597259858865
1099,22.422051083193946,0.3989638965320246,1.7522950791353833,-7.193293789255776
1100,22.34470304057289,0.3989628669712104,1.7522720343063574,-7.162434752380926
1101,22.267621820985788,0.3989618066148142,1.7522483820482564,-7.131682248667692
1102,22.19080650398876,0.39896071465469607,1.752224108862022,-7.101035912733412
