,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],MI_Objective,grammar_complexity,Language,Area,LangCategory
14659,0,1,0,2,3,1,1,4,2,0.1985571056016735,1.281623128795612,0.8845089175922649,2___1___5,simulated,simulated,simulated
8120,0,1,0,2,3,1,3,1,0,0.19855569151482944,1.2656654708272954,0.8685540877976365,2___2___4,simulated,simulated,simulated
10747,0,1,2,3,0,0,0,2,1,0.19854717535492394,1.1455186806571347,0.7484243299472868,2___2___4,simulated,simulated,simulated
9374,0,0,1,2,3,1,2,3,2,0.19853374417856573,1.102781792126752,0.7057143037696205,2___2___4,simulated,simulated,simulated
3386,0,1,0,2,0,1,3,0,0,0.19853093483713113,1.1390402398915915,0.7419783702173293,2___3___4,simulated,simulated,simulated
17937,0,1,2,3,0,3,3,3,4,0.19852763002198093,1.2192656765775445,0.8222104165335826,2___2___5,simulated,simulated,simulated
8226,0,1,2,1,3,3,2,3,0,0.19852477149699754,1.2489386209192286,0.8518890779252335,2___2___4,simulated,simulated,simulated
17505,0,0,1,2,0,3,1,3,4,0.19851827202263062,1.04538291343979,0.6483463693945288,2___2___5,simulated,simulated,simulated
4433,0,1,0,0,2,2,3,2,0,0.19851324971303974,1.003287889344449,0.6062613899183695,2___3___4,simulated,simulated,simulated
3096,0,1,2,0,2,2,1,2,2,0.19851123745856913,0.9626088973490889,0.5655864224319507,2___3___3,simulated,simulated,simulated
6591,0,1,1,1,1,2,3,1,1,0.19851084376113326,0.9896117877582823,0.5925901002360158,2___3___4,simulated,simulated,simulated
1392,0,1,1,0,0,0,2,1,1,0.19850993790408655,0.801396211846552,0.40437633603837886,3___2___3,simulated,simulated,simulated
7210,0,1,1,0,1,2,0,3,1,0.19850295757448666,0.8057186592647705,0.40871274411579717,2___3___4,simulated,simulated,simulated
12542,0,0,1,1,2,1,3,0,4,0.19850055224553587,1.069272154748919,0.6722710502578473,2___3___5,simulated,simulated,simulated
10086,0,1,0,2,2,3,3,2,3,0.1984910143955556,1.2365721747429004,0.8395901459517892,2___2___4,simulated,simulated,simulated
17511,0,0,1,2,2,3,0,1,4,0.1984856695381978,0.9663792359249104,0.5694078968485148,2___2___5,simulated,simulated,simulated
15072,0,1,2,1,3,4,1,2,4,0.19846965892149182,1.22599148810557,0.8290521702625864,2___2___5,simulated,simulated,simulated
10898,0,1,1,2,2,3,1,2,0,0.19846295232851152,1.1698919609663891,0.7729660563093661,2___2___4,simulated,simulated,simulated
8614,0,0,1,2,3,1,2,1,3,0.1984594823972503,1.1053326012331413,0.7084136364386406,2___3___4,simulated,simulated,simulated
4482,0,1,2,2,0,1,3,0,3,0.19845766713211566,1.2075647299574968,0.8106493956932654,2___2___4,simulated,simulated,simulated
15712,0,1,0,2,3,1,0,3,4,0.19845390820358833,1.2014221702286285,0.8045143538214519,2___3___5,simulated,simulated,simulated
17688,0,1,0,2,3,4,0,2,4,0.1984518825918684,1.2382035757721903,0.8412998105884535,2___3___5,simulated,simulated,simulated
8738,0,1,2,2,2,3,0,3,1,0.1984386289076121,1.155814367211974,0.7589371093967499,2___2___4,simulated,simulated,simulated
17320,0,0,1,0,2,0,3,1,4,0.19843291751568415,0.8106772512714931,0.41381141624012485,2___2___5,simulated,simulated,simulated
10550,0,1,0,2,3,3,0,0,1,0.1984327639560579,1.1541894293449233,0.7573239014328075,2___2___4,simulated,simulated,simulated
6275,0,1,1,2,0,3,1,3,1,0.19842588097804148,1.168345270343012,0.771493508386929,2___2___4,simulated,simulated,simulated
10066,0,1,2,1,1,3,0,0,2,0.1984157545764731,0.9905451252478534,0.5937136160949072,2___2___4,simulated,simulated,simulated
7331,0,1,1,1,2,0,3,3,3,0.19841412877837095,1.1372679104531973,0.7404396528964554,2___1___4,simulated,simulated,simulated
