,gamma,informativity,complexity,J
1147,2.9488075576633186,0.4474199302367776,1.0571673944386075,-0.262187877292797
1148,2.939762245865874,0.4450868099551719,1.050298042643699,-0.25815135739539463
1149,2.930744680085729,0.442728232286941,1.0433750376684419,-0.25414837383026945
1150,2.9217547752134396,0.440343994181726,1.0363981789928856,-0.25017898874413147
1151,2.9127924464006294,0.43793389399336347,1.029367273731901,-0.24624326471478208
1152,2.9038576090591866,0.43549773167046024,1.0222821371112514,-0.24234126472803053
1153,2.8949501788604737,0.4330353089580583,1.0151425929675726,-0.23847305215345882
1154,2.8860700717345225,0.4305464296110306,1.0079484742735365,-0.23463869071901322
1155,2.8772172038692476,0.4280308996198756,1.0006996236895809,-0.2308382444843562
1156,2.8683914917096547,0.42548852744964627,0.993395894143682,-0.22707177781295318
1157,2.859592851957044,0.42291912429277945,0.9860371494407192,-0.22333935534284555
1158,2.8508212015682366,0.42032250433666607,0.9786232649031725,-0.21964104195605216
1159,2.8420764577547786,0.41769848504686213,0.971154128044941,-0.21597690274658232
1160,2.8333585379821695,0.41504688746691065,0.9636296392803312,-0.21234700298696474
1161,2.8246673599690784,0.412367536535837,0.9560497126703476,-0.20875140809328774
1162,2.816002841686564,0.4096602614244724,0.9484142767086994,-0.2051901835886758
1163,2.8073649013573116,0.40692489589188074,0.9407232751501879,-0.20166339506515607
1164,2.7987534574548465,0.4041612786632722,0.9329766678843492,-0.19817110814385575
1165,2.790168428702777,0.4013692538309739,0.9251744318576971,-0.1947133884334773
1166,2.781609734074023,0.39854867128017646,0.9173165620481876,-0.1912903014870193
1167,2.7730772927900453,0.3956993871413781,0.9094030724960818,-0.18790191275661106
1168,2.7645710243200963,0.39282126427173636,0.9014339973959387,-0.18454828754649077
1169,2.7560908483804445,0.38991417276776397,0.8934093922550701,-0.18122949096399577
1170,2.7476366849336293,0.3869779905121917,0.8853293351246789,-0.177945587868517
1171,2.7392084541877018,0.38401260375820145,0.8771939279107448,-0.17469664281835273
1172,2.7308060765954654,0.3810179077547018,0.8690032977728768,-0.17148272001535347
1173,2.7224294728537357,0.3779938074169018,0.8607575986206697,-0.16830388324730272
1174,2.7140785639025826,0.3749402180470873,0.8524570127186137,-0.16516019582794628
1175,2.705753270924591,0.37185706611128455,0.8441017524125352,-0.1620517205344949
1176,2.697453515344114,0.3687442900784679,0.8356920619926642,-0.15897851954256859
1177,2.689179218826528,0.36560184133004037,0.8272282197110772,-0.15594065435838111
1178,2.6809303032775023,0.3624296851486821,0.8187105399743835,-0.15293818574804252
1179,2.6727066908422494,0.3592278017971646,0.8101393757360882,-0.14997117366374713
1180,2.6645083039048036,0.35599618769965957,0.8015151211175529,-0.14703967716664323
1181,2.656335065087281,0.3527348567402149,0.7928382142914652,-0.14414375434610616
1182,2.648186897249145,0.3494438416956682,0.7841091406678524,-0.14128346223502064
1183,2.640063723486491,0.3461231958233493,0.7753284364297541,-0.13845885672068126
1184,2.631965467131307,0.3427729946274398,0.7664966924738801,-0.13566999245072653
1185,2.62389205175076,0.33939333783203374,0.7576145588212422,-0.13291692273339162
1186,2.6158434011464697,0.3359843515936771,0.7486827495736019,-0.1301996994311937
1187,2.607819439353788,0.33254619099154237,0.7397020485039714,-0.12751837284683043
1188,2.5998200906410887,0.3290790428393886,0.7306733153829794,-0.12487299159980259
1189,2.591845279509043,0.3255831288698132,0.7215974931572797,-0.12226360249173018
1190,2.583894930689917,0.32205870934789127,0.7124756161107988,-0.11969025035775482
1191,2.575968969146856,0.3185060871773775,0.7033088191526946,-0.11715297790061319
1192,2.5680673200731734,0.3149256125674387,0.6940983483855296,-0.11465182550293507
1193,2.560189908891653,0.31131768832968665,0.6848455731092902,-0.11218683101185023
1194,2.5523366612538347,0.30768277587194004,0.6755519994059263,-0.1097580294883731
1195,2.544507503039323,0.3040214019429046,0.6662192854165667,-0.10736545291168786
1196,2.536702360355083,0.3003341661558676,0.656849258357086,-0.10500912982577915
1197,2.528921159534738,0.2966217492723562,0.6474439332005841,-0.10268908491248518
1198,2.5211638271378836,0.2928849221492078,0.6380055327652421,-0.10040533847143573
1199,2.51343028994939,0.2891245551328592,0.6285365086557122,-0.09815790578335837
1200,2.5057204749787063,0.28534162751025915,0.6190395620861935,-0.09594679633001013
1201,2.4980343094591824,0.2815372363850215,0.6095176630376202,-0.09377201284248349
1202,2.4903717208473704,0.2777126040361104,0.5999740654622348,-0.09163355015217789
