,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
21193,7,4,0,5,3,1,2,8,6,0.34064854679632695,1.7530612423846796,87.08833214291374,-1.26462548234456e-15,2.1094237467877974e-15,"Bantawa (Sino-Tibetan, Kiranti)",asia,real,2
21350,0,6,2,3,4,5,1,8,7,0.3406485467963267,1.7530612423846796,87.08833214291374,-1.0198592599552902e-15,2.3314683517128287e-15,"[OC-11]  Fijian (Austronesian, Oceanic)",oceania,real,2
21219,8,5,7,0,3,4,1,2,6,0.3406485467963267,1.7530612423846796,87.08833214291374,-1.0198592599552902e-15,2.3314683517128287e-15,"Mundari (Austroasiatic, Mundaic)",asia,real,2
21167,8,7,6,5,4,0,2,3,1,0.3406485467963267,1.7530612423846796,87.08833214291374,-1.0198592599552902e-15,2.1094237467877974e-15,Finnish (Uralic),europe,real,2
21342,8,6,4,1,0,7,5,3,2,0.3406485467963267,1.7530612423846796,87.08833214291374,-1.0198592599552902e-15,2.4424906541753444e-15,"[OC-5]  Bardi (Nyulnyulan, Western) ",oceania,real,2
21161,2,8,1,3,7,0,5,4,6,0.3406485467963267,1.7530612423846796,87.08833214291374,-1.0198592599552902e-15,2.3314683517128287e-15,Basque,europe,real,2
21279,2,7,3,5,1,8,4,0,6,0.3406485467963265,1.7530612423846796,87.08833214291374,-8.158874079642322e-16,2.3314683517128287e-15,"Yoruba (Atlantic-Congo, Defoid)",africa,real,2
21245,4,2,7,3,6,5,1,8,0,0.3406485467963265,1.7530612423846796,87.08833214291374,-8.158874079642322e-16,2.1094237467877974e-15,"Arapaho (Algic, Algonquian) ",americas,real,2
21262,1,5,6,0,3,7,4,2,8,0.3406485467963263,1.75306124238468,87.08833214291374,-5.711211855749625e-16,2.1094237467877974e-15,"Apache, San Carlos (Athabaskan-Eyak-Tlingit, Athabaskan) ",americas,real,2
21359,8,5,1,4,6,2,7,3,0,0.3406485467963263,1.7530612423846796,87.08833214291374,-5.711211855749625e-16,2.4424906541753444e-15,[OC-45]  Wardaman (Yangmanic),oceania,real,2
