,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
21182,3,4,0,5,6,1,7,8,2,0.7648664101949825,1.7530612423846796,99.6932552694414,-9.978205921509922e-16,-2.220446049250313e-16,Catalan,europe,real,2
21270,2,6,5,7,0,4,3,8,1,0.7648664101949825,1.7530612423846796,99.6932552694414,-9.978205921509922e-16,-2.220446049250313e-16,"[AM-44]  Trio (Cariban, Guianan)",americas,real,2
21245,4,2,7,3,6,5,1,8,0,0.7648664101949825,1.7530612423846796,99.6932552694414,-9.978205921509922e-16,-2.220446049250313e-16,"Arapaho (Algic, Algonquian) ",americas,real,2
21193,7,4,0,5,3,1,2,8,6,0.7648664101949825,1.7530612423846796,99.6932552694414,-9.978205921509922e-16,-2.220446049250313e-16,"Bantawa (Sino-Tibetan, Kiranti)",asia,real,2
21161,2,8,1,3,7,0,5,4,6,0.7648664101949822,1.7530612423846796,99.6932552694414,-7.127289943935658e-16,2.220446049250313e-16,Basque,europe,real,2
21166,1,7,3,6,2,5,0,8,4,0.7648664101949822,1.7530612423846794,99.6932552694414,-7.127289943935658e-16,-2.220446049250313e-16,"Old Church Slavonic (Indo-European, Slavic)",europe,real,2
21350,0,6,2,3,4,5,1,8,7,0.7648664101949822,1.7530612423846796,99.6932552694414,-7.127289943935658e-16,0.0,"[OC-11]  Fijian (Austronesian, Oceanic)",oceania,real,2
21219,8,5,7,0,3,4,1,2,6,0.764866410194982,1.7530612423846796,99.6932552694414,-5.701831955148527e-16,2.220446049250313e-16,"Mundari (Austroasiatic, Mundaic)",asia,real,2
21227,0,5,1,7,4,6,3,2,8,0.764866410194982,1.7530612423846796,99.6932552694414,-5.701831955148527e-16,2.220446049250313e-16,"Yukaghir, Kolyma (Yukaghir)",asia,real,2
21235,0,8,6,1,7,4,5,2,3,0.764866410194982,1.7530612423846796,99.6932552694414,-5.701831955148527e-16,2.220446049250313e-16,"[AM-18]  Inuktitut, Western Canadian (Eskimo-Aleut, Eskimo) ",americas,real,2
21336,6,1,2,8,0,4,5,7,3,0.764866410194982,1.7530612423846799,99.6932552694414,-5.701831955148527e-16,2.220446049250313e-16,[OC-17]  Jingulu (Mirndi),oceania,real,2
21250,0,4,3,8,1,7,6,5,2,0.764866410194982,1.7530612423846796,99.6932552694414,-5.701831955148527e-16,2.220446049250313e-16,[AM-26]  Mapudungun (Araucanian) ,americas,real,2
21341,2,7,8,0,6,1,4,5,3,0.764866410194982,1.7530612423846794,99.6932552694414,-5.701831955148527e-16,-2.220446049250313e-16,"[OC-8]  Djapu (Pama-Nyungan, Yuulngu) ",oceania,real,2
21313,6,4,2,7,8,1,5,0,3,0.764866410194982,1.7530612423846799,99.6932552694414,-5.701831955148527e-16,2.220446049250313e-16,"Tamasheq, Tadraq (Afro-Asiatic, Berber)",africa,real,2
21345,6,1,5,4,0,3,7,8,2,0.764866410194982,1.7530612423846796,99.6932552694414,-5.701831955148527e-16,-2.220446049250313e-16,"[OC-50]  Yuwaalaraay (Pama-Nyungan, Wiradhuric)",oceania,real,2
21183,8,0,3,6,5,7,2,4,1,0.764866410194982,1.7530612423846799,99.6932552694414,-5.701831955148527e-16,2.220446049250313e-16,"Macedonian (Indo-European, Slavic)",europe,real,2
21349,3,5,2,0,7,4,6,1,8,0.764866410194982,1.7530612423846796,99.6932552694414,-5.701831955148527e-16,0.0,"[OC-48]  Yidiɲ (Pama-Nyungan, Yimidhirr-Yalanji-Yidinic)",oceania,real,2
21167,8,7,6,5,4,0,2,3,1,0.764866410194982,1.7530612423846796,99.6932552694414,-5.701831955148527e-16,3.3306690738754696e-16,Finnish (Uralic),europe,real,2
21262,1,5,6,0,3,7,4,2,8,0.764866410194982,1.75306124238468,99.6932552694414,-5.701831955148527e-16,0.0,"Apache, San Carlos (Athabaskan-Eyak-Tlingit, Athabaskan) ",americas,real,2
21302,2,3,6,4,7,0,5,1,8,0.764866410194982,1.7530612423846796,99.6932552694414,-5.701831955148527e-16,0.0,"Khoekhoe, Nama (Khoe-Kwadi)",africa,real,2
21231,5,7,8,6,1,2,4,0,3,0.764866410194982,1.7530612423846794,99.6932552694414,-5.701831955148527e-16,-2.220446049250313e-16,Ainu (Ainu),asia,real,2
21255,5,4,0,2,8,1,6,7,3,0.764866410194982,1.7530612423846794,99.6932552694414,-5.701831955148527e-16,2.220446049250313e-16,"[AM-17]  Hualapai (Cochimi-Yuman, Yuman) ",americas,real,2
21356,1,8,7,6,2,5,3,4,0,0.7648664101949818,1.7530612423846799,99.6932552694414,-2.8509159775742634e-16,2.220446049250313e-16,"[OC-49]  Yindjibarndi  (Pama-Nyungan, Pilbara)",oceania,real,2
21259,7,0,4,3,1,8,2,5,6,0.7648664101949818,1.7530612423846794,99.6932552694414,-2.8509159775742634e-16,0.0,"[AM-20]  Klamath (Penutian, Klamath-Modoc) ",americas,real,2
21244,7,3,4,8,6,5,1,2,0,0.7648664101949818,1.7530612423846799,99.6932552694414,-2.8509159775742634e-16,2.220446049250313e-16,"[AM-15]  Garifuna (Arawakan, Caribbean Arawakan) ",americas,real,2
21170,4,7,2,3,1,0,8,6,5,0.7648664101949818,1.7530612423846794,99.6932552694414,-2.8509159775742634e-16,-2.220446049250313e-16,"German (Indo-European, Germanic)",europe,real,2
21220,8,4,0,1,7,3,6,5,2,0.7648664101949818,1.7530612423846796,99.6932552694414,-2.8509159775742634e-16,2.220446049250313e-16,"Atong (Sino-Tibetan, Brahmaputran)",asia,real,2
