,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
21356,1,8,7,6,2,5,3,4,0,0.6491692861606562,1.7530612423846799,100.0,-1.1368683772161603e-15,2.220446049250313e-16,"[OC-49]  Yindjibarndi  (Pama-Nyungan, Pilbara)",oceania,real,2
21193,7,4,0,5,3,1,2,8,6,0.649169286160656,1.7530612423846796,99.08258569198337,-1.0039703981449738e-15,-2.220446049250313e-16,"Bantawa (Sino-Tibetan, Kiranti)",asia,real,2
21352,6,8,4,2,3,0,7,1,5,0.649169286160656,1.7530612423846796,99.08258569198337,-1.0039703981449738e-15,3.3306690738754696e-16,[OC-28]  Ngan'gityemerri (Southern Daly),oceania,real,2
21235,0,8,6,1,7,4,5,2,3,0.649169286160656,1.7530612423846796,99.08258569198337,-1.0039703981449738e-15,2.220446049250313e-16,"[AM-18]  Inuktitut, Western Canadian (Eskimo-Aleut, Eskimo) ",americas,real,2
21233,2,8,0,6,1,4,7,5,3,0.649169286160656,1.7530612423846799,99.08258569198337,-1.0039703981449738e-15,3.3306690738754696e-16,"Khasi (Austroasiatic, Khasi-Palaung)",asia,real,2
21218,8,0,2,6,4,5,1,7,3,0.649169286160656,1.7530612423846796,99.08258569198337,-1.0039703981449738e-15,2.220446049250313e-16,Yugh (Yeniseian),asia,real,2
21182,3,4,0,5,6,1,7,8,2,0.649169286160656,1.7530612423846796,99.08258569198337,-1.0039703981449738e-15,-2.220446049250313e-16,Catalan,europe,real,2
21166,1,7,3,6,2,5,0,8,4,0.649169286160656,1.7530612423846794,99.08258569198337,-1.0039703981449738e-15,-2.220446049250313e-16,"Old Church Slavonic (Indo-European, Slavic)",europe,real,2
21345,6,1,5,4,0,3,7,8,2,0.649169286160656,1.7530612423846796,99.08258569198337,-1.0039703981449738e-15,-2.220446049250313e-16,"[OC-50]  Yuwaalaraay (Pama-Nyungan, Wiradhuric)",oceania,real,2
21270,2,6,5,7,0,4,3,8,1,0.6491692861606557,1.7530612423846796,100.0,-7.105427357601002e-16,-2.220446049250313e-16,"[AM-44]  Trio (Cariban, Guianan)",americas,real,2
21254,6,0,7,5,4,3,8,2,1,0.6491692861606557,1.7530612423846799,100.0,-7.105427357601002e-16,-2.220446049250313e-16,"[AM-24]  Lakota (Siouan, Core Siouan)",americas,real,2
21279,2,7,3,5,1,8,4,0,6,0.6491692861606557,1.7530612423846796,100.0,-7.105427357601002e-16,2.220446049250313e-16,"Yoruba (Atlantic-Congo, Defoid)",africa,real,2
21271,6,8,5,2,0,4,3,1,7,0.6491692861606557,1.7530612423846796,100.0,-7.105427357601002e-16,2.220446049250313e-16,[AM-50]  Yuracaré (Yuracaré) ,americas,real,2
21214,8,6,5,3,0,4,7,2,1,0.6491692861606555,1.7530612423846796,99.08258569198337,-5.736973703685564e-16,2.220446049250313e-16,"Burushaski, Yasin (Burushaski)",asia,real,2
21336,6,1,2,8,0,4,5,7,3,0.6491692861606555,1.7530612423846799,99.08258569198337,-5.736973703685564e-16,2.220446049250313e-16,[OC-17]  Jingulu (Mirndi),oceania,real,2
21228,7,8,0,6,3,2,5,4,1,0.6491692861606555,1.7530612423846796,99.08258569198337,-5.736973703685564e-16,2.220446049250313e-16,Korean (Koreanic),asia,real,2
21227,0,5,1,7,4,6,3,2,8,0.6491692861606555,1.7530612423846796,99.08258569198337,-5.736973703685564e-16,2.220446049250313e-16,"Yukaghir, Kolyma (Yukaghir)",asia,real,2
21223,2,7,3,8,0,6,4,1,5,0.6491692861606555,1.7530612423846796,99.08258569198337,-5.736973703685564e-16,3.3306690738754696e-16,"Arabic, Modern Standard (Afro-Asiatic, Semitic)",asia,real,2
21220,8,4,0,1,7,3,6,5,2,0.6491692861606555,1.7530612423846796,99.08258569198337,-5.736973703685564e-16,2.220446049250313e-16,"Atong (Sino-Tibetan, Brahmaputran)",asia,real,2
21219,8,5,7,0,3,4,1,2,6,0.6491692861606555,1.7530612423846796,99.08258569198337,-5.736973703685564e-16,2.220446049250313e-16,"Mundari (Austroasiatic, Mundaic)",asia,real,2
21360,0,8,5,7,1,4,3,6,2,0.6491692861606555,1.7530612423846796,99.08258569198337,-5.736973703685564e-16,2.220446049250313e-16,"[OC-21]  Maori (Southern Cook Islands) (Austronesian, Oceanic)",oceania,real,2
21244,7,3,4,8,6,5,1,2,0,0.6491692861606555,1.7530612423846799,99.08258569198337,-5.736973703685564e-16,2.220446049250313e-16,"[AM-15]  Garifuna (Arawakan, Caribbean Arawakan) ",americas,real,2
21245,4,2,7,3,6,5,1,8,0,0.6491692861606555,1.7530612423846796,99.08258569198337,-5.736973703685564e-16,-2.220446049250313e-16,"Arapaho (Algic, Algonquian) ",americas,real,2
21329,8,1,6,3,4,5,7,2,0,0.6491692861606555,1.7530612423846799,99.08258569198337,-5.736973703685564e-16,2.220446049250313e-16,"Arrernte, Eastern (Pama-Nyungan, Aranda) ",oceania,real,2
