,Unnamed: 0,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],Language,Area,dist_to_hull,r patterns,theta patterns
47,47,0,1,0,0,1,1,1,1,0,0.09938004637728626,0.6434447402980682,simulated48,simulated,0.09907112926119463,3.0,3.0
48,48,0,0,1,1,0,0,0,0,1,0.06310414633014705,0.5690452145024437,simulated49,simulated,0.11182421352313222,2.0,2.0
49,49,0,1,1,0,1,1,0,0,1,0.15655399496017308,0.6285157191242979,simulated50,simulated,0.04000785966500935,2.0,2.0
50,50,0,0,0,1,0,0,1,0,0,0.07511184490132072,0.5699624566524434,simulated51,simulated,0.10063313939671473,2.0,2.0
51,51,0,1,1,0,0,0,0,0,0,0.10561591053140383,0.5344759635677819,simulated52,simulated,0.061010631830399786,2.0,2.0
52,52,0,1,1,0,0,0,0,1,1,0.1191390864493439,0.5651823448277754,simulated53,simulated,0.0571513757519313,2.0,2.0
53,53,0,1,0,1,0,1,0,0,0,0.052489540735540574,0.6591228123043467,simulated54,simulated,0.14847992368867666,2.0,2.0
54,54,0,1,0,0,0,0,1,0,1,0.07246540762434328,0.5496721499665012,simulated55,simulated,0.09716321181155556,2.0,2.0
55,55,0,0,0,0,1,1,0,0,1,0.05605001813810029,0.31650718547384793,simulated56,simulated,0.04376804500464161,3.0,3.0
56,56,0,0,0,1,0,1,1,1,1,0.07021305126467657,0.6170061517065663,simulated57,simulated,0.11918740474264325,2.0,2.0
57,57,0,1,1,1,1,1,1,1,1,0.0913710738937914,0.6730610186265895,simulated58,simulated,0.11408953722752613,2.0,2.0
58,58,0,0,1,1,1,0,1,0,1,0.0581708120917801,0.6706377854788026,simulated59,simulated,0.1461229097562966,2.0,2.0
59,59,0,0,0,1,1,0,1,1,1,0.07550246155305307,0.6474591606269116,simulated60,simulated,0.1231114843679861,2.0,2.0
60,60,0,1,0,0,1,1,0,0,1,0.0981824552735937,0.5702039999495071,simulated61,simulated,0.07865203595713785,3.0,3.0
61,61,0,0,1,0,0,0,1,0,1,0.09134672123224308,0.4095381317178359,simulated62,simulated,0.03778401828841814,3.0,3.0
62,62,0,1,0,1,1,0,1,0,1,0.052755105293717734,0.692968917688182,simulated63,simulated,0.155877732801181,2.0,2.0
63,63,0,0,0,0,0,1,1,0,0,0.0684682471991333,0.3150656606428061,simulated64,simulated,0.03152233010956138,3.0,3.0
64,64,0,0,0,1,0,1,0,1,1,0.060296902477181565,0.546076555515128,simulated65,simulated,0.10773635342495977,3.0,3.0
65,65,0,0,1,1,0,1,0,0,0,0.07728019130498409,0.5872620387066473,simulated66,simulated,0.10365686507457643,3.0,3.0
66,66,0,0,1,1,1,0,0,0,1,0.08061687455870037,0.6288235755696052,simulated67,simulated,0.112741356992579,1.0,1.0
67,67,0,1,0,1,1,1,1,1,1,0.06553253553260996,0.6906993531158445,simulated68,simulated,0.14290358165251132,2.0,2.0
68,68,0,0,1,0,0,1,1,0,1,0.10342851680505166,0.4500175278667192,simulated69,simulated,0.0381960384033298,2.0,2.0
69,69,0,0,1,0,0,0,0,0,1,0.07226941533719378,0.2557963966650059,simulated70,simulated,0.0095444251199123,2.0,2.0
70,70,0,1,1,0,1,1,0,0,0,0.15257289481650085,0.6240263427125126,simulated71,simulated,0.042560873208863655,2.0,2.0
71,71,0,1,1,1,1,0,0,0,1,0.09700473352618433,0.6926201832420764,simulated72,simulated,0.11246397250269267,2.0,2.0
72,72,0,0,1,1,0,1,0,1,1,0.06916889759994316,0.6113814901424162,simulated73,simulated,0.11852404441278948,3.0,3.0
73,73,0,0,0,1,0,1,1,0,0,0.06672084410937851,0.5937613195976562,simulated74,simulated,0.11566412021975787,3.0,3.0
74,74,0,1,0,0,0,0,0,1,1,0.0717301919504379,0.4828708429621141,simulated75,simulated,0.0781531042173703,3.0,3.0
75,75,0,0,0,1,1,0,0,1,1,0.0740391491083886,0.5913612022067437,simulated76,simulated,0.10796295021077104,3.0,3.0
76,76,0,0,1,0,0,1,0,0,1,0.09656419984060338,0.31312229897051924,simulated77,simulated,0.004268002140216836,1.0,1.0
77,77,0,1,0,1,1,0,0,1,1,0.07493225962823391,0.6858031687115893,simulated78,simulated,0.13272725499840332,3.0,3.0
78,78,0,1,0,0,0,1,0,0,1,0.07012929874485767,0.4874936962757164,simulated79,simulated,0.08104426841575108,2.0,2.0
79,79,0,1,1,0,0,1,0,0,1,0.13017868812918765,0.5686029964061227,simulated80,simulated,0.04762456501208664,2.0,2.0
80,80,0,1,1,0,1,1,1,0,1,0.13336818071445067,0.6704595172649611,simulated81,simulated,0.07241099999770882,2.0,2.0
81,81,0,1,0,0,0,0,1,0,0,0.0690798261911515,0.5427020564210642,simulated82,simulated,0.09834554780515184,3.0,3.0
82,82,0,0,0,1,1,0,1,1,0,0.07541573035281601,0.6437125125889279,simulated83,simulated,0.12209961326935988,2.0,2.0
83,83,0,1,1,0,1,0,0,1,1,0.13731637821793186,0.626129131102219,simulated84,simulated,0.05776832347865155,2.0,2.0
84,84,0,1,1,1,0,0,1,1,1,0.05138446186106438,0.6929601075318355,simulated85,simulated,0.15722030037758514,2.0,2.0
85,85,0,0,1,0,1,0,1,0,1,0.0768178503327922,0.5125586357821353,simulated86,simulated,0.08205921680065112,2.0,2.0
86,86,0,1,0,0,1,1,0,0,0,0.09727856527729406,0.5638271957678137,simulated87,simulated,0.07763623455961563,3.0,3.0
87,87,0,1,1,0,1,0,1,0,1,0.11317701542516745,0.6590104161961555,simulated88,simulated,0.08991761880371005,2.0,2.0
88,88,0,1,0,1,1,0,1,0,0,0.05375533731876536,0.6926747072853636,simulated89,simulated,0.15483926088872055,3.0,3.0
89,89,0,0,1,0,1,1,0,1,0,0.10107133352178632,0.4648588934608702,simulated90,simulated,0.04480023013927641,3.0,3.0
90,90,0,1,0,0,0,0,0,0,0,0.05972491100788169,0.4415810759435931,simulated91,simulated,0.07744383917293443,2.0,2.0
91,91,0,0,0,1,1,0,0,0,0,0.08988372887479867,0.5642790957289803,simulated92,simulated,0.08483200136191364,2.0,2.0
92,92,0,0,0,1,0,1,0,1,0,0.06094777235494564,0.5390047163925626,simulated93,simulated,0.10502534403378692,2.0,2.0
93,93,0,0,1,1,1,0,0,0,0,0.08121390808498385,0.624345501862795,simulated94,simulated,0.11084333202722456,2.0,2.0
94,94,0,1,0,1,1,1,1,1,0,0.06413102053868469,0.6914593457905003,simulated95,simulated,0.14442855891031908,3.0,3.0
95,95,0,1,1,1,1,1,1,0,0,0.0788910668540207,0.682352633805863,simulated96,simulated,0.12815047574391006,2.0,2.0
96,96,0,1,1,1,0,0,0,1,1,0.06252713624607242,0.6854325159388011,simulated97,simulated,0.14480119863448032,1.0,1.0
97,97,0,0,1,0,0,0,0,0,0,0.06602185763636986,0.24026377100976096,simulated98,simulated,0.010756829779283598,2.0,2.0
98,98,0,1,1,1,1,0,0,0,0,0.09665579914777787,0.6921647867655798,simulated99,simulated,0.11272489916191453,3.0,3.0
99,99,0,1,0,1,1,0,0,0,0,0.08114312980738403,0.6779081684499979,simulated100,simulated,0.12505413648999986,3.0,3.0
100,100,0,1,1,0,1,0,0,0,0,0.12720147102489365,0.6043539756203549,simulated101,simulated,0.061013768327948914,3.0,3.0
101,101,0,0,1,1,0,1,1,0,1,0.061816667807770724,0.6484887275576203,simulated102,simulated,0.13650021391963596,2.0,2.0
102,102,0,1,0,1,1,1,0,1,0,0.0845979759287887,0.6895036025836887,simulated103,simulated,0.1240059942021352,2.0,2.0
103,103,0,0,1,0,0,1,0,0,0,0.09098702821865072,0.2995254087243455,simulated104,simulated,0.005303053098269871,2.0,2.0
104,104,0,1,0,0,0,1,0,0,0,0.06811401651670079,0.4788169433843986,simulated105,simulated,0.08040998675280799,3.0,3.0
105,105,0,1,1,0,1,1,1,0,0,0.1274473013958246,0.6678310100819598,simulated106,simulated,0.07767151319657216,1.0,1.0
106,106,0,1,1,1,1,0,1,1,1,0.07202948322726553,0.681524598404859,simulated107,simulated,0.13471955691798213,3.0,3.0
107,107,0,0,0,1,1,1,1,0,0,0.07388593794753584,0.6457403262011847,simulated108,simulated,0.12415917946187607,2.0,2.0
108,108,0,1,1,1,0,1,1,1,1,0.061855696788841286,0.6909056188596631,simulated109,simulated,0.14654943874400864,3.0,3.0
109,109,0,1,0,1,0,0,0,1,1,0.0454869024774045,0.6605665664459555,simulated110,simulated,0.15560543123560475,2.0,2.0
110,110,0,0,0,0,0,1,0,1,1,0.042276002658923284,0.19951213957620628,simulated111,simulated,0.020652485779231504,3.0,3.0
111,111,0,1,1,0,1,0,1,0,0,0.10766724666277194,0.6557824484866959,simulated112,simulated,0.0946006062528023,2.0,2.0
112,112,0,0,0,0,1,0,1,1,0,0.07175075773919233,0.4375540033061413,simulated113,simulated,0.06477297642292773,3.0,3.0
113,113,0,1,0,1,0,1,0,1,1,0.0480881704990217,0.6717175210963979,simulated114,simulated,0.15622502942676342,2.0,2.0
114,114,0,1,1,1,0,1,0,1,1,0.07783392884557161,0.6902207988538621,simulated115,simulated,0.13076564726718926,2.0,2.0
115,115,0,1,1,1,0,0,0,1,0,0.059611901411840924,0.6838826202130089,simulated116,simulated,0.14735469835490295,2.0,2.0
116,116,0,1,0,0,1,1,1,0,1,0.08638378637010358,0.6334605640585677,simulated117,simulated,0.1085993903684857,2.0,2.0
117,117,0,1,0,1,0,0,1,0,0,0.034446237398240154,0.6797104834505854,simulated118,simulated,0.17118871474583586,2.0,2.0
118,118,0,1,1,1,0,0,1,0,0,0.03750237920219157,0.6925776473423528,simulated119,simulated,0.1707470122669798,1.0,1.0
119,119,0,1,0,1,0,0,1,1,1,0.04400713018283453,0.6870324805784188,simulated120,simulated,0.16327287948002886,3.0,3.0
120,120,0,0,1,1,0,1,1,0,0,0.05923498157654983,0.6447858061335415,simulated121,simulated,0.1378820238676874,3.0,3.0
121,121,0,0,1,1,1,1,1,0,1,0.0730294682439695,0.6796733766910636,simulated122,simulated,0.1333570517971462,3.0,3.0
122,122,0,1,1,1,0,1,1,0,0,0.048042627144695316,0.6930513770561259,simulated123,simulated,0.16051715664552704,2.0,2.0
123,123,0,0,0,1,0,0,1,1,1,0.07839664585268946,0.5963283375751248,simulated124,simulated,0.1052653363301964,2.0,2.0
124,124,0,0,1,0,1,1,1,0,1,0.09659199058629064,0.5425680876860245,simulated125,simulated,0.07201384111722052,3.0,3.0
125,125,0,1,0,1,0,1,1,1,1,0.04137431029363037,0.6911686190177975,simulated126,simulated,0.16666955316112478,2.0,2.0
126,126,0,0,1,0,1,0,0,0,1,0.07858039065336747,0.3999376194992469,simulated127,simulated,0.04714083489537632,2.0,2.0
127,127,0,1,1,1,1,0,1,1,0,0.0673919641449372,0.6832709897590086,simulated128,simulated,0.13961658114946354,2.0,2.0
128,128,0,1,0,1,0,0,0,1,0,0.04572560872360154,0.6574140371325601,simulated129,simulated,0.1544871842770508,2.0,2.0
129,129,0,0,0,0,0,1,0,1,0,0.034657280024667,0.18171723693673889,simulated130,simulated,0.02242227068829265,3.0,3.0
130,130,0,0,1,1,1,1,0,0,0,0.10109600613197367,0.6413530481273906,simulated131,simulated,0.09683484123272088,2.0,2.0
131,131,0,1,1,1,1,1,0,0,0,0.12061862817997047,0.6931418334917945,simulated132,simulated,0.0894274444331967,2.0,2.0
132,132,0,1,0,0,1,0,1,1,0,0.0928181063278204,0.6267813833774498,simulated133,simulated,0.10047354739627204,2.0,2.0
133,133,0,0,1,1,1,1,0,1,1,0.09166887704244664,0.6573528410224252,simulated134,simulated,0.11039228688754314,3.0,3.0
134,134,0,1,0,0,1,0,0,0,1,0.0839157426788022,0.5434665887144954,simulated135,simulated,0.08439062992718449,2.0,2.0
135,135,0,1,0,1,0,1,0,1,0,0.04794418323634897,0.6691626530716968,simulated136,simulated,0.15567267617376546,1.0,1.0
136,136,0,1,1,1,0,1,0,1,0,0.07449714664285279,0.6892416834516746,simulated137,simulated,0.13382826046524846,2.0,2.0
137,137,0,1,1,1,1,1,0,1,1,0.1187089969532592,0.6915581537753858,simulated138,simulated,0.09097856477455404,2.0,2.0
138,138,0,1,1,0,0,0,1,1,1,0.12670164500156678,0.6300731844249745,simulated139,simulated,0.06908280155206865,2.0,2.0
139,139,0,1,0,0,1,1,1,0,0,0.08357716218937505,0.6291553972807915,simulated140,simulated,0.11000309751753028,2.0,2.0
140,140,0,1,0,1,0,1,1,0,0,0.03216512320996445,0.6864070368225739,simulated141,simulated,0.174747434211438,2.0,2.0
141,141,0,0,0,0,1,1,1,0,1,0.06522004558936367,0.4524346783388488,simulated142,simulated,0.07539942782280111,3.0,3.0
142,142,0,1,1,0,1,1,0,1,1,0.16206318765857666,0.6428851403790256,simulated143,simulated,0.038775539006686614,1.0,1.0
143,143,0,0,0,0,0,1,1,1,1,0.09295863171199598,0.3709650865070399,simulated144,simulated,0.02486717382459883,2.0,2.0
144,144,0,0,1,0,1,1,0,0,1,0.10712179896699348,0.441395714774519,simulated145,simulated,0.03209828692348486,2.0,2.0
145,145,0,0,0,1,0,0,1,1,0,0.0778767100367106,0.5907482748462783,simulated146,simulated,0.1041190457870852,3.0,3.0
146,146,0,0,1,0,0,0,0,1,1,0.07906561855053146,0.3058857042411986,simulated147,simulated,0.01861670356257805,3.0,3.0
147,147,0,0,1,0,1,1,1,0,0,0.09073146959862476,0.5353974845975737,simulated148,simulated,0.07549839140412783,2.0,2.0
148,148,0,0,1,0,1,0,0,0,0,0.07466065922738496,0.3888895482487836,simulated149,simulated,0.0476367444846708,3.0,3.0
149,149,0,0,0,1,1,1,0,1,0,0.08098666479239736,0.6075996993489771,simulated150,simulated,0.10611677669658837,2.0,2.0
150,150,0,0,0,0,0,0,1,1,0,0.0981273217296239,0.30786141436599845,simulated151,simulated,0.0012219462603652368,2.0,2.0
151,151,0,0,0,0,0,0,0,0,1,0.010894479047607,0.03631018261552811,simulated152,simulated,0.0,2.0,2.0
152,152,0,1,0,1,1,1,0,0,1,0.08800585871841983,0.6865558337180379,simulated153,simulated,0.1200553702509558,3.0,3.0
153,153,0,1,1,0,0,0,1,0,0,0.09933664085434403,0.6089562052219593,simulated154,simulated,0.08898506796364201,2.0,2.0
154,154,0,0,0,1,0,0,0,1,0,0.06349533371574634,0.508582742117275,simulated155,simulated,0.09360655382401016,3.0,3.0
155,155,0,0,1,1,0,0,0,0,0,0.06313601300205074,0.5626342835282597,simulated156,simulated,0.10990169068878844,3.0,3.0
156,156,0,1,0,0,1,0,0,0,0,0.08335220766071083,0.5363212319646727,simulated157,simulated,0.08282458365832346,2.0,2.0
157,157,0,1,0,0,0,1,1,0,1,0.07338447120771907,0.5757347926135653,simulated158,simulated,0.10397700158799048,2.0,2.0
158,158,0,1,1,0,0,1,1,0,1,0.11924282225269325,0.6323829809688517,simulated159,simulated,0.07688989523545116,3.0,3.0
159,159,0,1,1,0,0,0,1,1,0,0.1183629273676894,0.6256412083604463,simulated160,simulated,0.07573272534582484,3.0,3.0
160,160,0,1,0,0,1,1,0,1,1,0.10361368186176324,0.5909658481587508,simulated161,simulated,0.07958901914018818,2.0,2.0
161,161,0,0,0,0,1,1,1,0,0,0.06223043299811376,0.4428164032116561,simulated162,simulated,0.0754093330662532,2.0,2.0
162,162,0,1,1,0,1,1,0,1,0,0.15604436873933092,0.638949066276816,simulated163,simulated,0.04343975078269531,2.0,2.0
163,163,0,0,0,0,0,1,1,1,0,0.0864935326622544,0.3591009397843037,simulated164,simulated,0.027528267615255817,2.0,2.0
164,164,0,0,1,1,1,0,0,1,1,0.0722223944135536,0.6431544979511228,simulated165,simulated,0.12498591319531918,2.0,2.0
165,165,0,0,0,0,1,0,1,0,1,0.05845785596814568,0.4122288267946736,simulated166,simulated,0.06998728935443252,2.0,2.0
166,166,0,1,1,0,0,0,0,1,0,0.11256158510039127,0.5586582595665202,simulated167,simulated,0.06151680034368665,3.0,3.0
167,167,0,1,1,1,1,0,0,1,1,0.0947431322899035,0.6931087197478264,simulated168,simulated,0.11477679541329534,2.0,2.0
168,168,0,0,0,0,1,1,0,0,0,0.05576168323585118,0.3030166726154672,simulated169,simulated,0.0398612065124492,2.0,2.0
169,169,0,0,0,1,0,1,1,1,0,0.06900420900528559,0.612107951766542,simulated170,simulated,0.11889690483373005,3.0,3.0
170,170,0,1,1,1,1,1,1,1,0,0.08595818904446051,0.6753885670535438,simulated171,simulated,0.11984029237107326,3.0,3.0
171,171,0,0,1,0,0,0,0,1,0,0.0702778598100503,0.2920588645229373,simulated172,simulated,0.022676548183790217,3.0,3.0
172,172,0,0,1,1,1,0,1,0,0,0.056571054279954236,0.6680195960852933,simulated173,simulated,0.14707371625364005,2.0,2.0
173,173,0,1,0,0,0,0,1,1,1,0.09368192427735712,0.5724269921318739,simulated174,simulated,0.08360676453585959,2.0,2.0
174,174,0,0,0,0,1,1,0,1,1,0.058272055501229277,0.3604024942333178,simulated175,simulated,0.05486570322144347,2.0,2.0
175,175,0,0,1,0,0,0,1,0,0,0.08407920673418201,0.3987552786539877,simulated176,simulated,0.04155360999354685,3.0,3.0
176,176,0,0,0,0,1,0,0,0,1,0.03639603882055531,0.259652142144535,simulated177,simulated,0.044873263408325,3.0,3.0
177,177,0,1,1,0,0,1,0,1,1,0.13779847776135046,0.5895234647887024,simulated178,simulated,0.046506430885327216,2.0,2.0
178,178,0,1,0,1,1,0,1,1,1,0.061346604534231026,0.6928973639841627,simulated179,simulated,0.14744773439992673,3.0,3.0
179,179,0,0,1,0,0,1,1,0,0,0.09623230029098062,0.4403342257573161,simulated180,simulated,0.04219147630502395,2.0,2.0
180,180,0,0,0,1,1,1,1,1,1,0.07543019752708724,0.6609547347083071,simulated181,simulated,0.12698756809153394,1.0,1.0
