,place,goal,source,prior_spec,mean_gNID,mean_epsilon,mu
0,0,0.8,-0.8,place_goal_source,0.22902002443635813,0.029353710651207714,0.2
0,0,0.8,-0.9,place_goal_source,0.21573226708161408,0.02799915022974742,0.2
0,0,0.8,-1,place_goal_source,0.21487657021207715,0.0286420867264312,0.2
0,0,0.8,-1.1,place_goal_source,0.22054021510664368,0.030406493923053918,0.2
0,0,0.8,-1.2,place_goal_source,0.22914684037828636,0.03281840810610854,0.2
0,0,0.8,-1.3,place_goal_source,0.23702655934301203,0.03548631105623553,0.2
0,0,0.9,-0.8,place_goal_source,0.2560934449046704,0.03334343500124301,0.2
0,0,0.9,-0.9,place_goal_source,0.24146058309055998,0.03019388730874265,0.2
0,0,0.9,-1,place_goal_source,0.23291186000771233,0.029445936606173506,0.2
0,0,0.9,-1.1,place_goal_source,0.23228306355014894,0.030360458585385438,0.2
0,0,0.9,-1.2,place_goal_source,0.23531887521763145,0.03214578543082738,0.2
0,0,0.9,-1.3,place_goal_source,0.2416985096880105,0.034491367846657746,0.2
0,0,1,-0.8,place_goal_source,0.28521166245706575,0.0398025730050488,0.2
0,0,1,-0.9,place_goal_source,0.2727428051619636,0.03546001883450974,0.2
0,0,1,-1,place_goal_source,0.261286934269628,0.033392278768081575,0.2
0,0,1,-1.1,place_goal_source,0.25818253596708096,0.0333326405261948,0.2
0,0,1,-1.2,place_goal_source,0.25737703375889853,0.034459551091826114,0.2
