,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
21262,1,5,6,0,3,7,4,2,8,0.691114524772811,1.75306124238468,100.0,-9.947598300641404e-16,0.0,"Apache, San Carlos (Athabaskan-Eyak-Tlingit, Athabaskan) ",americas,real,2
21252,8,1,3,4,6,7,2,0,5,0.691114524772811,1.7530612423846799,100.0,-9.947598300641404e-16,0.0,"[AM-38]  Quechua, Yauyos (Quechuan, Central Quechua I)",americas,real,2
21359,8,5,1,4,6,2,7,3,0,0.691114524772811,1.7530612423846796,100.0,-9.947598300641404e-16,3.3306690738754696e-16,[OC-45]  Wardaman (Yangmanic),oceania,real,2
21329,8,1,6,3,4,5,7,2,0,0.691114524772811,1.7530612423846799,100.0,-9.947598300641404e-16,2.220446049250313e-16,"Arrernte, Eastern (Pama-Nyungan, Aranda) ",oceania,real,2
21214,8,6,5,3,0,4,7,2,1,0.691114524772811,1.7530612423846796,100.0,-9.947598300641404e-16,2.220446049250313e-16,"Burushaski, Yasin (Burushaski)",asia,real,2
21342,8,6,4,1,0,7,5,3,2,0.691114524772811,1.7530612423846796,100.0,-9.947598300641404e-16,2.220446049250313e-16,"[OC-5]  Bardi (Nyulnyulan, Western) ",oceania,real,2
21302,2,3,6,4,7,0,5,1,8,0.691114524772811,1.7530612423846796,100.0,-9.947598300641404e-16,0.0,"Khoekhoe, Nama (Khoe-Kwadi)",africa,real,2
21223,2,7,3,8,0,6,4,1,5,0.691114524772811,1.7530612423846796,100.0,-9.947598300641404e-16,3.3306690738754696e-16,"Arabic, Modern Standard (Afro-Asiatic, Semitic)",asia,real,2
21220,8,4,0,1,7,3,6,5,2,0.6911145247728108,1.7530612423846796,100.0,-7.105427357601002e-16,2.220446049250313e-16,"Atong (Sino-Tibetan, Brahmaputran)",asia,real,2
21313,6,4,2,7,8,1,5,0,3,0.6911145247728108,1.7530612423846799,100.0,-7.105427357601002e-16,2.220446049250313e-16,"Tamasheq, Tadraq (Afro-Asiatic, Berber)",africa,real,2
21349,3,5,2,0,7,4,6,1,8,0.6911145247728108,1.7530612423846796,100.0,-7.105427357601002e-16,0.0,"[OC-48]  Yidiɲ (Pama-Nyungan, Yimidhirr-Yalanji-Yidinic)",oceania,real,2
21183,8,0,3,6,5,7,2,4,1,0.6911145247728105,1.7530612423846799,99.08258569198337,-5.736973703685564e-16,2.220446049250313e-16,"Macedonian (Indo-European, Slavic)",europe,real,2
21218,8,0,2,6,4,5,1,7,3,0.6911145247728105,1.7530612423846796,99.08258569198337,-5.736973703685564e-16,2.220446049250313e-16,Yugh (Yeniseian),asia,real,2
21238,4,5,7,8,3,2,1,0,6,0.6911145247728105,1.7530612423846796,99.08258569198337,-5.736973703685564e-16,2.220446049250313e-16,"[AM-21]  Kodiak Alutiiq (Eskimo-Aleut, Aleut) ",americas,real,2
21336,6,1,2,8,0,4,5,7,3,0.6911145247728105,1.7530612423846799,99.08258569198337,-5.736973703685564e-16,2.220446049250313e-16,[OC-17]  Jingulu (Mirndi),oceania,real,2
21233,2,8,0,6,1,4,7,5,3,0.6911145247728105,1.7530612423846799,99.08258569198337,-5.736973703685564e-16,3.3306690738754696e-16,"Khasi (Austroasiatic, Khasi-Palaung)",asia,real,2
21254,6,0,7,5,4,3,8,2,1,0.6911145247728105,1.7530612423846799,99.08258569198337,-5.736973703685564e-16,-2.220446049250313e-16,"[AM-24]  Lakota (Siouan, Core Siouan)",americas,real,2
21271,6,8,5,2,0,4,3,1,7,0.6911145247728105,1.7530612423846796,99.08258569198337,-5.736973703685564e-16,2.220446049250313e-16,[AM-50]  Yuracaré (Yuracaré) ,americas,real,2
21345,6,1,5,4,0,3,7,8,2,0.6911145247728105,1.7530612423846796,99.08258569198337,-5.736973703685564e-16,-2.220446049250313e-16,"[OC-50]  Yuwaalaraay (Pama-Nyungan, Wiradhuric)",oceania,real,2
21219,8,5,7,0,3,4,1,2,6,0.6911145247728105,1.7530612423846796,99.08258569198337,-5.736973703685564e-16,2.220446049250313e-16,"Mundari (Austroasiatic, Mundaic)",asia,real,2
21161,2,8,1,3,7,0,5,4,6,0.6911145247728105,1.7530612423846796,99.08258569198337,-5.736973703685564e-16,2.220446049250313e-16,Basque,europe,real,2
21350,0,6,2,3,4,5,1,8,7,0.6911145247728105,1.7530612423846796,99.08258569198337,-5.736973703685564e-16,0.0,"[OC-11]  Fijian (Austronesian, Oceanic)",oceania,real,2
21352,6,8,4,2,3,0,7,1,5,0.6911145247728105,1.7530612423846796,99.08258569198337,-5.736973703685564e-16,3.3306690738754696e-16,[OC-28]  Ngan'gityemerri (Southern Daly),oceania,real,2
21166,1,7,3,6,2,5,0,8,4,0.6911145247728105,1.7530612423846794,99.08258569198337,-5.736973703685564e-16,-2.220446049250313e-16,"Old Church Slavonic (Indo-European, Slavic)",europe,real,2
21232,6,7,1,4,3,8,5,0,2,0.6911145247728103,1.7530612423846794,100.0,-2.842170943040401e-16,0.0,"Mualang (Austronesian, Malayo-Sumbawan)",asia,real,2
21360,0,8,5,7,1,4,3,6,2,0.6911145247728103,1.7530612423846796,100.0,-2.842170943040401e-16,2.220446049250313e-16,"[OC-21]  Maori (Southern Cook Islands) (Austronesian, Oceanic)",oceania,real,2
21362,7,8,0,2,4,3,6,5,1,0.6911145247728103,1.7530612423846796,100.0,-2.842170943040401e-16,2.220446049250313e-16,"[OC-47]  Yawuru (Nyulnyulan, Eastern)",oceania,real,2
