,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
21254,6,0,7,5,4,3,8,2,1,0.601343711126811,1.7530612423846799,98.47565676209298,-5.050790534291014e-16,-2.220446049250313e-16,"[AM-24]  Lakota (Siouan, Core Siouan)",americas,real,2
21233,2,8,0,6,1,4,7,5,3,0.601343711126811,1.7530612423846799,98.47565676209298,-5.050790534291014e-16,3.3306690738754696e-16,"Khasi (Austroasiatic, Khasi-Palaung)",asia,real,2
21244,7,3,4,8,6,5,1,2,0,0.601343711126811,1.7530612423846799,98.47565676209298,-5.050790534291014e-16,2.220446049250313e-16,"[AM-15]  Garifuna (Arawakan, Caribbean Arawakan) ",americas,real,2
21161,2,8,1,3,7,0,5,4,6,0.601343711126811,1.7530612423846796,98.47565676209298,-5.050790534291014e-16,2.220446049250313e-16,Basque,europe,real,2
21356,1,8,7,6,2,5,3,4,0,0.601343711126811,1.7530612423846799,98.47565676209298,-5.050790534291014e-16,2.220446049250313e-16,"[OC-49]  Yindjibarndi  (Pama-Nyungan, Pilbara)",oceania,real,2
21313,6,4,2,7,8,1,5,0,3,0.601343711126811,1.7530612423846799,98.47565676209298,-5.050790534291014e-16,2.220446049250313e-16,"Tamasheq, Tadraq (Afro-Asiatic, Berber)",africa,real,2
21352,6,8,4,2,3,0,7,1,5,0.601343711126811,1.7530612423846796,98.47565676209298,-5.050790534291014e-16,3.3306690738754696e-16,[OC-28]  Ngan'gityemerri (Southern Daly),oceania,real,2
21231,5,7,8,6,1,2,4,0,3,0.6013437111268107,1.7530612423846794,51.02760716598991,-6.962336421623152e-16,-2.220446049250313e-16,Ainu (Ainu),asia,real,2
21294,1,3,7,2,4,8,5,6,0,0.6013437111268107,1.7530612423846794,51.02760716598991,-6.962336421623152e-16,0.0,"Ngizim (Afro-Asiatic, Chadic)",africa,real,2
21187,3,2,1,6,7,0,8,5,4,0.6013437111268107,1.7530612423846794,51.02760716598991,-6.962336421623152e-16,-2.220446049250313e-16,Turkish (Turkic),europe,real,2
21284,3,0,5,4,7,2,8,1,6,0.6013437111268107,1.7530612423846794,51.02760716598991,-6.962336421623152e-16,-2.220446049250313e-16,"Hausa (Afro-Asiatic, Chadic)",africa,real,2
21170,4,7,2,3,1,0,8,6,5,0.6013437111268107,1.7530612423846794,51.02760716598991,-6.962336421623152e-16,-2.220446049250313e-16,"German (Indo-European, Germanic)",europe,real,2
21145,0,1,2,3,4,5,6,7,8,0.6013437111268105,1.7530612423846796,51.02760716598991,-4.873635495136206e-16,0.0,simulated,simulated,simulated,2
21167,8,7,6,5,4,0,2,3,1,0.6013437111268105,1.7530612423846796,51.02760716598991,-4.873635495136206e-16,3.3306690738754696e-16,Finnish (Uralic),europe,real,2
21336,6,1,2,8,0,4,5,7,3,0.6013437111268105,1.7530612423846799,51.02760716598991,-4.873635495136206e-16,2.220446049250313e-16,[OC-17]  Jingulu (Mirndi),oceania,real,2
21183,8,0,3,6,5,7,2,4,1,0.6013437111268105,1.7530612423846799,51.02760716598991,-4.873635495136206e-16,2.220446049250313e-16,"Macedonian (Indo-European, Slavic)",europe,real,2
