,gamma,informativity,complexity,J
779,9.133567168836214,0.6354560939590637,1.749980529747582,-4.054000387273822
780,9.105550432833782,0.6354479509385522,1.7499062695039684,-4.036197095207905
781,9.07761963669271,0.6354396121478942,1.7498304571996421,-4.018448643966482
782,9.049774516797001,0.6354310735010724,1.7497530660208145,-4.0007548701301525
783,9.022014810339295,0.6354223308412077,1.7496740688061352,-3.9831156108635555
784,8.994340255318363,0.635413379939622,1.7495934380441673,-3.965530703914677
785,8.966750590536668,0.6354042164948863,1.7495111458708774,-3.947999987614134
786,8.939245555597864,0.6353948361318629,1.7494271640671195,-3.9305233008744684
787,8.911824890904374,0.6353852344007389,1.7493414640561478,-3.913100483189467
788,8.884488337654918,0.6353754067760515,1.7492540169011197,-3.8957313746334603
789,8.857235637842068,0.6353653486557074,1.7491647933026182,-3.8784158158606643
790,8.830066534249834,0.6353550553599903,1.7490737635961773,-3.8611536481045228
791,8.802980770451203,0.6353445221305625,1.7489808977498231,-3.8439447131770272
792,8.775978090805758,0.635333744129458,1.7488861653616155,-3.8267888534680985
793,8.749058240457238,0.6353227164380695,1.748789535657208,-3.8096859119449613
794,8.72222096533113,0.6353114340561208,1.7486909774874129,-3.79263573215147
795,8.695466012132306,0.6352998919006401,1.7485904593257728,-3.7756381582075704
796,8.668793128342575,0.6352880848049145,1.7484879492661538,-3.758693034808604
797,8.642202062218358,0.6352760075174453,1.7483834150203323,-3.7418002072247782
798,8.615692562788281,0.6352636547008932,1.748276823915608,-3.72495952130058
799,8.589264379850798,0.6352510209310069,1.7481681428924176,-3.708170823454134
800,8.562917263971862,0.6352381006955541,1.7480573385019609,-3.6914339606766955
801,8.536650966482537,0.6352248883932392,1.7479443769038387,-3.674748780532068
802,8.510465239476671,0.6352113783326125,1.747829223863703,-3.6581151311560607
803,8.484359835808558,0.6351975647309689,1.7477118447509155,-3.641532861255924
804,8.458334509090585,0.6351834417132418,1.7475922045362142,-3.6250018201098277
805,8.432389013690935,0.6351690033108872,1.7474702677894003,-3.6085218575663465
806,8.406523104731235,0.6351542434607604,1.747345998677029,-3.5920928240439416
