,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],MI_Objective,grammar_complexity,Language,Area,LangCategory
19807,0,1,2,1,3,4,4,5,4,0.3747437855940987,1.5849736226165545,0.8354860514283571,2___2___6,simulated,simulated,simulated
15812,0,1,2,3,1,3,4,4,3,0.3747138367179357,1.4660476939969564,0.7166200205610851,2___3___5,simulated,simulated,simulated
15289,0,1,2,2,3,3,4,4,0,0.3747026772669739,1.5176622266818027,0.7682568721478549,2___1___5,simulated,simulated,simulated
14670,0,1,0,2,3,1,4,3,1,0.37467055035489816,1.5957181279149615,0.8463770272051652,2___2___5,simulated,simulated,simulated
3496,0,1,2,0,1,1,3,2,1,0.3746671251929061,1.290515263175493,0.5411810127896808,2___2___4,simulated,simulated,simulated
15110,0,1,2,3,2,4,1,1,4,0.3746422216814784,1.4657605056376128,0.716476062274656,2___3___5,simulated,simulated,simulated
17670,0,0,1,2,3,0,4,4,3,0.3746332998284738,1.4276270024071898,0.6783604027502421,2___1___5,simulated,simulated,simulated
10083,0,1,1,2,1,1,3,3,2,0.37462538339677875,1.3787445741244433,0.6294938073308858,2___2___4,simulated,simulated,simulated
4359,0,1,2,1,2,2,3,3,3,0.3746198295016625,1.3454154044701023,0.5961757454667773,2___2___4,simulated,simulated,simulated
18179,0,1,2,1,3,4,4,4,5,0.3746153933865184,1.4997768965842988,0.750546109811262,2___1___6,simulated,simulated,simulated
16085,0,1,1,1,2,1,3,3,4,0.37459405060247697,1.385174568645956,0.6359864674410021,2___2___5,simulated,simulated,simulated
8977,0,0,1,2,0,1,3,1,1,0.3745891558282408,1.3414637770412807,0.5922854653847991,2___3___4,simulated,simulated,simulated
16061,0,1,1,2,2,3,4,1,0,0.37458270287239537,1.477753772508086,0.7285883667632953,2___2___5,simulated,simulated,simulated
18544,0,1,2,3,2,4,0,5,2,0.37457163576073116,1.5194287294042357,0.7702854578827734,2___2___6,simulated,simulated,simulated
7387,0,0,0,1,1,0,2,3,3,0.3745509104163329,1.3130246744688467,0.5639228536361809,2___2___4,simulated,simulated,simulated
