,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
21170,4,7,2,3,1,0,8,6,5,0.38690155364658785,1.7530612423846794,82.6567234119877,-9.455939905098577e-16,4.884981308350689e-15,"German (Indo-European, Germanic)",europe,real,2
21270,2,6,5,7,0,4,3,8,1,0.38690155364658785,1.7530612423846796,82.6567234119877,-9.455939905098577e-16,5.10702591327572e-15,"[AM-44]  Trio (Cariban, Guianan)",americas,real,2
21360,0,8,5,7,1,4,3,6,2,0.38690155364658785,1.7530612423846796,82.6567234119877,-9.455939905098577e-16,5.218048215738236e-15,"[OC-21]  Maori (Southern Cook Islands) (Austronesian, Oceanic)",oceania,real,2
21183,8,0,3,6,5,7,2,4,1,0.3869015536465876,1.7530612423846799,82.6567234119877,-7.306862653939808e-16,5.10702591327572e-15,"Macedonian (Indo-European, Slavic)",europe,real,2
21252,8,1,3,4,6,7,2,0,5,0.3869015536465876,1.7530612423846799,82.6567234119877,-7.306862653939808e-16,5.10702591327572e-15,"[AM-38]  Quechua, Yauyos (Quechuan, Central Quechua I)",americas,real,2
21342,8,6,4,1,0,7,5,3,2,0.3869015536465876,1.7530612423846796,82.6567234119877,-7.306862653939808e-16,4.773959005888173e-15,"[OC-5]  Bardi (Nyulnyulan, Western) ",oceania,real,2
21238,4,5,7,8,3,2,1,0,6,0.3869015536465876,1.7530612423846796,82.6567234119877,-7.306862653939808e-16,5.218048215738236e-15,"[AM-21]  Kodiak Alutiiq (Eskimo-Aleut, Aleut) ",americas,real,2
21329,8,1,6,3,4,5,7,2,0,0.3869015536465876,1.7530612423846799,82.6567234119877,-7.306862653939808e-16,4.773959005888173e-15,"Arrernte, Eastern (Pama-Nyungan, Aranda) ",oceania,real,2
21167,8,7,6,5,4,0,2,3,1,0.3869015536465876,1.7530612423846796,82.6567234119877,-7.306862653939808e-16,5.10702591327572e-15,Finnish (Uralic),europe,real,2
21259,7,0,4,3,1,8,2,5,6,0.3869015536465876,1.7530612423846794,82.6567234119877,-7.306862653939808e-16,5.10702591327572e-15,"[AM-20]  Klamath (Penutian, Klamath-Modoc) ",americas,real,2
21232,6,7,1,4,3,8,5,0,2,0.3869015536465876,1.7530612423846794,82.6567234119877,-7.306862653939808e-16,5.10702591327572e-15,"Mualang (Austronesian, Malayo-Sumbawan)",asia,real,2
21294,1,3,7,2,4,8,5,6,0,0.3869015536465876,1.7530612423846794,82.6567234119877,-7.306862653939808e-16,5.218048215738236e-15,"Ngizim (Afro-Asiatic, Chadic)",africa,real,2
21214,8,6,5,3,0,4,7,2,1,0.3869015536465876,1.7530612423846796,82.6567234119877,-7.306862653939808e-16,4.773959005888173e-15,"Burushaski, Yasin (Burushaski)",asia,real,2
