,place,goal,source,real,simulated,optimal,real_sd,simulated_sd,optimal_sd,real_minus_opt_resid,real_minus_opt_resid_sq,real_minus_sim_resid,real_minus_sim_resid_sq,dist_to_hull,dist_to_hull_sq,prior_spec,dist_to_hull_merge_D1D2,dist_to_hull_merge_D2D3,mu,gamma
0,0,0.789,-1.315,0.736120581,0.719505883,0,0.208842969,0.150948498,0,0,0,-27.23818237,7.355881998,3.306000924,0.130762736,place_goal_source,0.032780234,0.014166526,0.3,2
0,0,0.789,-1.315,0.695883687,0.753769091,0,0.213210803,0.132324102,0,0,0,-26.39242632,10.45919383,6.822202694,0.507142321,unif_unif_unif,0.032861614,0.032861614,0.3,2
0,0,0.789,-1.315,0.703729109,0.69248705,0,0.202386469,0.149401732,0,0,0,-23.89571446,6.838072003,4.049163921,0.21355739,goal_place_source,0.034187022,0.014749265,0.3,2
0,0,0.789,-1.315,0.671253467,0.64157958,0,0.149774202,0.127829809,0,0,0,-17.59551278,3.295354666,4.502309126,0.242332675,place_source_goal,0.022375297,0.017641922,0.3,2
0,0,0.789,-1.315,0.633210809,0.602219112,0,0.130161069,0.124186404,0,0,0,-14.4407618,2.18510136,4.491357947,0.262941722,goal_source_place,0.013981338,0.014531359,0.3,2
0,0,0.789,-1.315,0.552613008,0.544568773,0,0.120620198,0.120733812,0,0,0,-5.315396445,2.544346564,7.302501822,0.820305485,source_place_goal,0.023622847,0.018548995,0.3,2
0,0,0.789,-1.315,0.547923771,0.533349219,0,0.106869826,0.1182072,0,0,0,-4.603985627,1.772501193,6.479718415,0.661481106,source_goal_place,0.014650387,0.015172718,0.3,2
