,Unnamed: 0,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],Language,Area,dist_to_hull,r patterns,theta patterns
47,47,0,1,0,0,1,1,1,1,0,0.0827570535167731,0.6434447402980682,simulated48,simulated,0.1301705548328921,3.0,3.0
48,48,0,0,1,1,0,0,0,0,1,0.11561680828405453,0.5690452145024437,simulated49,simulated,0.07508194076341795,2.0,2.0
49,49,0,1,1,0,1,1,0,0,1,0.15301118885803255,0.6285157191242979,simulated50,simulated,0.058643960778383936,2.0,2.0
50,50,0,0,0,1,0,0,1,0,0,0.1061937124009189,0.5699624566524434,simulated51,simulated,0.0843170105014535,2.0,2.0
51,51,0,1,1,0,0,0,0,0,0,0.12036658045299665,0.5344759635677819,simulated52,simulated,0.059189851107841085,2.0,2.0
52,52,0,1,1,0,0,0,0,1,1,0.13984874280148776,0.5651823448277754,simulated53,simulated,0.05097055510571218,2.0,2.0
53,53,0,1,0,1,0,1,0,0,0,0.08756613036658556,0.6591228123043467,simulated54,simulated,0.13020277239058828,2.0,2.0
54,54,0,1,0,0,0,0,1,0,1,0.06957880529258098,0.5496721499665012,simulated55,simulated,0.11211223911676783,2.0,2.0
55,55,0,0,0,0,1,1,0,0,1,0.08186305947789653,0.31650718547384793,simulated56,simulated,0.023375685785441053,3.0,3.0
56,56,0,0,0,1,0,1,1,1,1,0.09478967899183233,0.6170061517065663,simulated57,simulated,0.1106530361577811,2.0,2.0
57,57,0,1,1,1,1,1,1,1,1,0.12170106950673465,0.6730610186265895,simulated58,simulated,0.10170467181086068,2.0,2.0
58,58,0,0,1,1,1,0,1,0,1,0.10924432330853584,0.6706377854788026,simulated59,simulated,0.11288660548043054,2.0,2.0
59,59,0,0,0,1,1,0,1,1,1,0.12272595053827627,0.6474591606269116,simulated60,simulated,0.09317283299734616,2.0,2.0
60,60,0,1,0,0,1,1,0,0,1,0.09836148300234847,0.5702039999495071,simulated61,simulated,0.09175049911188388,3.0,3.0
61,61,0,0,1,0,0,0,1,0,1,0.06911033305521562,0.4095381317178359,simulated62,simulated,0.06618147228465403,3.0,3.0
62,62,0,1,0,1,1,0,1,0,1,0.0854691773382733,0.692968917688182,simulated63,simulated,0.14219285753617195,2.0,2.0
63,63,0,0,0,0,0,1,1,0,0,0.04074211937036954,0.3150656606428061,simulated64,simulated,0.061635963409496834,3.0,3.0
64,64,0,0,0,1,0,1,0,1,1,0.12229630501895185,0.546076555515128,simulated65,simulated,0.061213937149636286,3.0,3.0
65,65,0,0,1,1,0,1,0,0,0,0.1321744467604119,0.5872620387066473,simulated66,simulated,0.06550001646631645,3.0,3.0
66,66,0,0,1,1,1,0,0,0,1,0.15796796511459366,0.6288235755696052,simulated67,simulated,0.05400372758237435,1.0,1.0
67,67,0,1,0,1,1,1,1,1,1,0.10153040444983397,0.6906993531158445,simulated68,simulated,0.1261768114546357,2.0,2.0
68,68,0,0,1,0,0,1,1,0,1,0.0767353032418071,0.4500175278667192,simulated69,simulated,0.07239758609127264,2.0,2.0
69,69,0,0,1,0,0,0,0,0,1,0.07696199808511693,0.2557963966650059,simulated70,simulated,0.007967841895665658,2.0,2.0
70,70,0,1,1,0,1,1,0,0,0,0.14715458857602234,0.6240263427125126,simulated71,simulated,0.06291268679542708,2.0,2.0
71,71,0,1,1,1,1,0,0,0,1,0.13948863473070094,0.6926201832420764,simulated72,simulated,0.0904779186988948,2.0,2.0
72,72,0,0,1,1,0,1,0,1,1,0.120786644831139,0.6113814901424162,simulated73,simulated,0.08422388617335137,3.0,3.0
73,73,0,0,0,1,0,1,1,0,0,0.1073478195860922,0.5937613195976562,simulated74,simulated,0.09110715313588608,3.0,3.0
74,74,0,1,0,0,0,0,0,1,1,0.08414195156139104,0.4828708429621141,simulated75,simulated,0.07625778418602126,3.0,3.0
75,75,0,0,0,1,1,0,0,1,1,0.15816428948067007,0.5913612022067437,simulated76,simulated,0.04232618984507999,3.0,3.0
76,76,0,0,1,0,0,1,0,0,1,0.09651295313700486,0.31312229897051924,simulated77,simulated,0.008661586209643768,1.0,1.0
77,77,0,1,0,1,1,0,0,1,1,0.12351395919695418,0.6858031687115893,simulated78,simulated,0.10373048132507612,3.0,3.0
78,78,0,1,0,0,0,1,0,0,1,0.07554120859844449,0.4874936962757164,simulated79,simulated,0.08593280090566834,2.0,2.0
79,79,0,1,1,0,0,1,0,0,1,0.13759788768154144,0.5686029964061227,simulated80,simulated,0.05419761717284281,2.0,2.0
80,80,0,1,1,0,1,1,1,0,1,0.11951277689257846,0.6704595172649611,simulated81,simulated,0.10302321349008607,2.0,2.0
81,81,0,1,0,0,0,0,1,0,0,0.06696618987928515,0.5427020564210642,simulated82,simulated,0.11226296051196108,3.0,3.0
82,82,0,0,0,1,1,0,1,1,0,0.12643784936602653,0.6437125125889279,simulated83,simulated,0.08852032362672692,2.0,2.0
83,83,0,1,1,0,1,0,0,1,1,0.14023715349628807,0.626129131102219,simulated84,simulated,0.07014213498002207,2.0,2.0
84,84,0,1,1,1,0,0,1,1,1,0.06869227319372427,0.6929601075318355,simulated85,simulated,0.15822038515359027,2.0,2.0
85,85,0,0,1,0,1,0,1,0,1,0.05848965561706354,0.5125586357821353,simulated86,simulated,0.1103027744810441,2.0,2.0
86,86,0,1,0,0,1,1,0,0,0,0.09674797130160452,0.5638271957678137,simulated87,simulated,0.0911572553390316,3.0,3.0
87,87,0,1,1,0,1,0,1,0,1,0.10238299004468697,0.6590104161961555,simulated88,simulated,0.11601671647077008,2.0,2.0
88,88,0,1,0,1,1,0,1,0,0,0.08737145830702375,0.6926747072853636,simulated89,simulated,0.140288044967758,3.0,3.0
89,89,0,0,1,0,1,1,0,1,0,0.10944303207451833,0.4648588934608702,simulated90,simulated,0.04641869311748813,3.0,3.0
90,90,0,1,0,0,0,0,0,0,0,0.06890563601357924,0.4415810759435931,simulated91,simulated,0.0769581997741537,2.0,2.0
91,91,0,0,0,1,1,0,0,0,0,0.18390967106898606,0.5642790957289803,simulated92,simulated,0.009065340865461992,2.0,2.0
92,92,0,0,0,1,0,1,0,1,0,0.12587963498971733,0.5390047163925626,simulated93,simulated,0.05548135000010826,2.0,2.0
93,93,0,0,1,1,1,0,0,0,0,0.15801816616643305,0.624345501862795,simulated94,simulated,0.052631104371016514,2.0,2.0
94,94,0,1,0,1,1,1,1,1,0,0.10216468779273047,0.6914593457905003,simulated95,simulated,0.12579682142682827,3.0,3.0
95,95,0,1,1,1,1,1,1,0,0,0.1134285107009304,0.682352633805863,simulated96,simulated,0.11234555341754672,2.0,2.0
96,96,0,1,1,1,0,0,0,1,1,0.09858586874429688,0.6854325159388011,simulated97,simulated,0.12744135888689204,1.0,1.0
97,97,0,0,1,0,0,0,0,0,0,0.06962055970586206,0.24026377100976096,simulated98,simulated,0.00981031169659271,2.0,2.0
98,98,0,1,1,1,1,0,0,0,0,0.13734617840835786,0.6921647867655798,simulated99,simulated,0.09238875948449704,3.0,3.0
99,99,0,1,0,1,1,0,0,0,0,0.12810263319056034,0.6779081684499979,simulated100,simulated,0.09701357408498833,3.0,3.0
100,100,0,1,1,0,1,0,0,0,0,0.12457626263760302,0.6043539756203549,simulated101,simulated,0.07832421687287558,3.0,3.0
101,101,0,0,1,1,0,1,1,0,1,0.09081241018501672,0.6484887275576203,simulated102,simulated,0.12396218664450435,2.0,2.0
102,102,0,1,0,1,1,1,0,1,0,0.14298410630034852,0.6895036025836887,simulated103,simulated,0.08622378117277331,2.0,2.0
103,103,0,0,1,0,0,1,0,0,0,0.08996931687428461,0.2995254087243455,simulated104,simulated,0.010028922907141974,2.0,2.0
