,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
21167,8,7,6,5,4,0,2,3,1,0.6649832941818163,1.7530612423846796,100.0,-5.684341886080802e-16,3.3306690738754696e-16,Finnish (Uralic),europe,real,2
21359,8,5,1,4,6,2,7,3,0,0.6649832941818163,1.7530612423846796,100.0,-5.684341886080802e-16,3.3306690738754696e-16,[OC-45]  Wardaman (Yangmanic),oceania,real,2
21182,3,4,0,5,6,1,7,8,2,0.6649832941818163,1.7530612423846796,100.0,-5.684341886080802e-16,-2.220446049250313e-16,Catalan,europe,real,2
21343,3,8,5,2,4,0,1,7,6,0.6649832941818163,1.7530612423846796,100.0,-5.684341886080802e-16,2.220446049250313e-16,"[OC-19]  Komnzo (Morehead-Wasur, Eastern Tonda)",oceania,real,2
21342,8,6,4,1,0,7,5,3,2,0.6649832941818163,1.7530612423846796,100.0,-5.684341886080802e-16,2.220446049250313e-16,"[OC-5]  Bardi (Nyulnyulan, Western) ",oceania,real,2
21227,0,5,1,7,4,6,3,2,8,0.6649832941818163,1.7530612423846796,100.0,-5.684341886080802e-16,2.220446049250313e-16,"Yukaghir, Kolyma (Yukaghir)",asia,real,2
21220,8,4,0,1,7,3,6,5,2,0.6649832941818163,1.7530612423846796,100.0,-5.684341886080802e-16,2.220446049250313e-16,"Atong (Sino-Tibetan, Brahmaputran)",asia,real,2
21233,2,8,0,6,1,4,7,5,3,0.6649832941818163,1.7530612423846799,100.0,-5.684341886080802e-16,3.3306690738754696e-16,"Khasi (Austroasiatic, Khasi-Palaung)",asia,real,2
21360,0,8,5,7,1,4,3,6,2,0.6649832941818163,1.7530612423846796,100.0,-5.684341886080802e-16,2.220446049250313e-16,"[OC-21]  Maori (Southern Cook Islands) (Austronesian, Oceanic)",oceania,real,2
21228,7,8,0,6,3,2,5,4,1,0.6649832941818163,1.7530612423846796,100.0,-5.684341886080802e-16,2.220446049250313e-16,Korean (Koreanic),asia,real,2
21362,7,8,0,2,4,3,6,5,1,0.6649832941818163,1.7530612423846796,100.0,-5.684341886080802e-16,2.220446049250313e-16,"[OC-47]  Yawuru (Nyulnyulan, Eastern)",oceania,real,2
21183,8,0,3,6,5,7,2,4,1,0.6649832941818163,1.7530612423846799,100.0,-5.684341886080802e-16,2.220446049250313e-16,"Macedonian (Indo-European, Slavic)",europe,real,2
21349,3,5,2,0,7,4,6,1,8,0.6649832941818163,1.7530612423846796,100.0,-5.684341886080802e-16,0.0,"[OC-48]  Yidiɲ (Pama-Nyungan, Yimidhirr-Yalanji-Yidinic)",oceania,real,2
21252,8,1,3,4,6,7,2,0,5,0.6649832941818161,1.7530612423846799,100.0,-2.842170943040401e-16,0.0,"[AM-38]  Quechua, Yauyos (Quechuan, Central Quechua I)",americas,real,2
21250,0,4,3,8,1,7,6,5,2,0.6649832941818161,1.7530612423846796,100.0,-2.842170943040401e-16,2.220446049250313e-16,[AM-26]  Mapudungun (Araucanian) ,americas,real,2
21218,8,0,2,6,4,5,1,7,3,0.6649832941818161,1.7530612423846796,100.0,-2.842170943040401e-16,2.220446049250313e-16,Yugh (Yeniseian),asia,real,2
21219,8,5,7,0,3,4,1,2,6,0.6649832941818161,1.7530612423846796,100.0,-2.842170943040401e-16,2.220446049250313e-16,"Mundari (Austroasiatic, Mundaic)",asia,real,2
21214,8,6,5,3,0,4,7,2,1,0.6649832941818161,1.7530612423846796,100.0,-2.842170943040401e-16,2.220446049250313e-16,"Burushaski, Yasin (Burushaski)",asia,real,2
21271,6,8,5,2,0,4,3,1,7,0.6649832941818161,1.7530612423846796,100.0,-2.842170943040401e-16,2.220446049250313e-16,[AM-50]  Yuracaré (Yuracaré) ,americas,real,2
21244,7,3,4,8,6,5,1,2,0,0.6649832941818161,1.7530612423846799,100.0,-2.842170943040401e-16,2.220446049250313e-16,"[AM-15]  Garifuna (Arawakan, Caribbean Arawakan) ",americas,real,2
21313,6,4,2,7,8,1,5,0,3,0.6649832941818161,1.7530612423846799,100.0,-2.842170943040401e-16,2.220446049250313e-16,"Tamasheq, Tadraq (Afro-Asiatic, Berber)",africa,real,2
21238,4,5,7,8,3,2,1,0,6,0.6649832941818161,1.7530612423846796,100.0,-2.842170943040401e-16,2.220446049250313e-16,"[AM-21]  Kodiak Alutiiq (Eskimo-Aleut, Aleut) ",americas,real,2
21294,1,3,7,2,4,8,5,6,0,0.6649832941818161,1.7530612423846794,100.0,-2.842170943040401e-16,0.0,"Ngizim (Afro-Asiatic, Chadic)",africa,real,2
21235,0,8,6,1,7,4,5,2,3,0.6649832941818161,1.7530612423846796,100.0,-2.842170943040401e-16,2.220446049250313e-16,"[AM-18]  Inuktitut, Western Canadian (Eskimo-Aleut, Eskimo) ",americas,real,2
21259,7,0,4,3,1,8,2,5,6,0.6649832941818159,1.7530612423846794,36.28327421019624,-2.9374804971174233e-16,0.0,"[AM-20]  Klamath (Penutian, Klamath-Modoc) ",americas,real,2
21161,2,8,1,3,7,0,5,4,6,0.6649832941818159,1.7530612423846796,36.28327421019624,-2.9374804971174233e-16,2.220446049250313e-16,Basque,europe,real,2
21145,0,1,2,3,4,5,6,7,8,0.6649832941818159,1.7530612423846796,36.28327421019624,-2.9374804971174233e-16,0.0,simulated,simulated,simulated,2
21329,8,1,6,3,4,5,7,2,0,0.6649832941818159,1.7530612423846799,36.28327421019624,-2.9374804971174233e-16,-2.220446049250313e-16,"Arrernte, Eastern (Pama-Nyungan, Aranda) ",oceania,real,2
21262,1,5,6,0,3,7,4,2,8,0.6649832941818159,1.75306124238468,36.28327421019624,-1.9583203314116154e-16,0.0,"Apache, San Carlos (Athabaskan-Eyak-Tlingit, Athabaskan) ",americas,real,2
21193,7,4,0,5,3,1,2,8,6,0.6649832941818159,1.7530612423846796,36.28327421019624,-2.9374804971174233e-16,-2.220446049250313e-16,"Bantawa (Sino-Tibetan, Kiranti)",asia,real,2
21232,6,7,1,4,3,8,5,0,2,0.6649832941818159,1.7530612423846794,36.28327421019624,-2.9374804971174233e-16,0.0,"Mualang (Austronesian, Malayo-Sumbawan)",asia,real,2
21302,2,3,6,4,7,0,5,1,8,0.6649832941818159,1.7530612423846796,36.28327421019624,-2.9374804971174233e-16,0.0,"Khoekhoe, Nama (Khoe-Kwadi)",africa,real,2
21254,6,0,7,5,4,3,8,2,1,0.6649832941818159,1.7530612423846799,36.28327421019624,-2.9374804971174233e-16,-2.220446049250313e-16,"[AM-24]  Lakota (Siouan, Core Siouan)",americas,real,2
21341,2,7,8,0,6,1,4,5,3,0.6649832941818159,1.7530612423846794,36.28327421019624,-2.9374804971174233e-16,-2.220446049250313e-16,"[OC-8]  Djapu (Pama-Nyungan, Yuulngu) ",oceania,real,2
21352,6,8,4,2,3,0,7,1,5,0.6649832941818159,1.7530612423846796,36.28327421019624,-2.9374804971174233e-16,3.3306690738754696e-16,[OC-28]  Ngan'gityemerri (Southern Daly),oceania,real,2
21245,4,2,7,3,6,5,1,8,0,0.6649832941818159,1.7530612423846796,36.28327421019624,-2.9374804971174233e-16,-2.220446049250313e-16,"Arapaho (Algic, Algonquian) ",americas,real,2
21336,6,1,2,8,0,4,5,7,3,0.6649832941818157,1.7530612423846799,36.28327421019624,0.0,2.220446049250313e-16,[OC-17]  Jingulu (Mirndi),oceania,real,2
21284,3,0,5,4,7,2,8,1,6,0.6649832941818157,1.7530612423846794,36.28327421019624,0.0,-2.220446049250313e-16,"Hausa (Afro-Asiatic, Chadic)",africa,real,2
21356,1,8,7,6,2,5,3,4,0,0.6649832941818157,1.7530612423846799,36.28327421019624,0.0,2.220446049250313e-16,"[OC-49]  Yindjibarndi  (Pama-Nyungan, Pilbara)",oceania,real,2
21223,2,7,3,8,0,6,4,1,5,0.6649832941818157,1.7530612423846796,36.28327421019624,0.0,3.3306690738754696e-16,"Arabic, Modern Standard (Afro-Asiatic, Semitic)",asia,real,2
21199,4,3,5,8,1,0,6,7,2,0.6649832941818157,1.7530612423846796,36.28327421019624,0.0,2.220446049250313e-16,Tuvinian (Turkic),asia,real,2
21166,1,7,3,6,2,5,0,8,4,0.6649832941818157,1.7530612423846794,36.28327421019624,0.0,-2.220446049250313e-16,"Old Church Slavonic (Indo-European, Slavic)",europe,real,2
21350,0,6,2,3,4,5,1,8,7,0.6649832941818157,1.7530612423846796,36.28327421019624,0.0,0.0,"[OC-11]  Fijian (Austronesian, Oceanic)",oceania,real,2
21345,6,1,5,4,0,3,7,8,2,0.6649832941818157,1.7530612423846796,36.28327421019624,0.0,-2.220446049250313e-16,"[OC-50]  Yuwaalaraay (Pama-Nyungan, Wiradhuric)",oceania,real,2
21187,3,2,1,6,7,0,8,5,4,0.6649832941818157,1.7530612423846794,36.28327421019624,0.0,-2.220446049250313e-16,Turkish (Turkic),europe,real,2
21170,4,7,2,3,1,0,8,6,5,0.6649832941818155,1.7530612423846794,31.021379550912002,1.145246836289089e-16,2.708944180085382e-13,"German (Indo-European, Germanic)",europe,real,2
21279,2,7,3,5,1,8,4,0,6,0.6649832941818155,1.7530612423846796,31.021379550912002,1.145246836289089e-16,2.707833957060757e-13,"Yoruba (Atlantic-Congo, Defoid)",africa,real,2
21255,5,4,0,2,8,1,6,7,3,0.6649832941818155,1.7530612423846794,31.021379550912002,1.145246836289089e-16,2.707833957060757e-13,"[AM-17]  Hualapai (Cochimi-Yuman, Yuman) ",americas,real,2
21231,5,7,8,6,1,2,4,0,3,0.6649832941818155,1.7530612423846794,31.021379550912002,1.145246836289089e-16,2.708944180085382e-13,Ainu (Ainu),asia,real,2
21270,2,6,5,7,0,4,3,8,1,0.6649832941818155,1.7530612423846796,31.021379550912002,1.145246836289089e-16,2.7111646261346323e-13,"[AM-44]  Trio (Cariban, Guianan)",americas,real,2
21128,0,1,2,3,4,5,6,7,7,0.6577366036300341,1.7315367249259905,5.48478287126155,0.004522147741441223,0.026243838296381994,simulated,simulated,simulated,3
21365,6,1,5,2,0,7,4,3,3,0.6577366036300338,1.7315367249259905,5.48478287126155,0.004522147741441466,0.02624383829638155,[OC-25]  Maybrat (Maybrat-Karon) ,oceania,real,3
21132,0,1,2,3,4,5,6,7,2,0.6531930956667953,1.7237155339878687,5.048186878070483,0.00808586021779202,0.04050530993771939,simulated,simulated,simulated,3
21334,4,2,7,3,5,0,1,6,0,0.6506702813690415,1.732464528714737,4.880439940572431,0.012720788223374944,0.04756577692955144,[OC-27]  Motuna (South Bougainville),oceania,real,3
21136,0,1,2,3,4,5,6,7,5,0.6506702813690415,1.732464528714737,4.880439940572431,0.012720788223374944,0.04756577692955144,simulated,simulated,simulated,3
21335,3,5,4,6,2,0,7,1,0,0.6506702813690413,1.732464528714737,4.880439940572431,0.012720788223375216,0.04756577692955155,"[OC-30]  Orokaiva (Trans-New Guinea, Binanderean)",oceania,real,3
21119,0,1,2,3,4,2,5,6,7,0.6475092712141273,1.7011378967657471,4.703794054834253,0.009756971528189929,0.0554826531385173,simulated,simulated,simulated,3
21243,7,4,2,3,1,2,5,6,0,0.6475092712141268,1.701137896765747,4.703794054834253,0.009756971528190354,0.055482653138517524,"[AM-10] Comanche (Uto-Aztecan, Numic) ",americas,real,3
21197,4,1,5,6,0,5,7,3,2,0.6475092712141268,1.7011378967657467,4.703794054834253,0.009756971528190307,0.05548265313851708,"Bengali (Indo-European, Indo-Iranian)",asia,real,3
21209,4,0,2,5,7,2,1,6,3,0.6475092712141266,1.701137896765747,4.703794054834253,0.009756971528190543,0.0554826531385173,"Limbu (Sino-Tibetan, Kiranti)",asia,real,3
21122,0,1,2,3,4,4,5,6,7,0.6473211299710708,1.700494778482404,4.6893654144347225,0.009838549027667544,0.056297368777348034,simulated,simulated,simulated,3
21328,4,2,1,7,3,6,0,5,0,0.6470057193442504,1.7226332090954124,4.674981033129306,0.014920638935754994,0.058361362671164096,"Abui (Timor-Alor-Pantar, Alor) ",oceania,real,3
21109,0,1,2,3,4,5,6,7,6,0.6470057193442504,1.7226332090954124,4.674981033129306,0.014920638935754994,0.058361362671164096,simulated,simulated,simulated,3
21121,0,1,2,3,4,5,6,6,7,0.6459511061961625,1.6949467886856064,4.632092088234314,0.010141720908968371,0.059060584078455935,simulated,simulated,simulated,3
21112,0,1,2,3,4,5,6,7,1,0.6444076338304643,1.7151733889482903,4.561483105713688,0.016288774758361452,0.06541670676001587,simulated,simulated,simulated,2
21115,0,1,2,3,4,5,6,7,4,0.6425255120675957,1.7234248476394427,4.49195044644347,0.020274647752321098,0.0699011904351935,simulated,simulated,simulated,2
21022,0,1,2,3,4,2,5,6,6,0.640262580662345,1.679613379307058,4.409908918799863,0.012999907878317219,0.07376101386683731,simulated,simulated,simulated,4
20744,0,1,2,3,4,4,5,6,6,0.6400744394192879,1.6789702610237152,4.396381755569011,0.013082261234992126,0.07480961914950457,simulated,simulated,simulated,3
21116,0,1,2,3,4,5,6,5,7,0.637303933060344,1.717771979860939,4.316085706084105,0.025112282725155213,0.08336478953122184,simulated,simulated,simulated,2
20904,0,1,2,3,4,4,5,6,2,0.6355309314560491,1.6711490700855933,4.263371412633534,0.01626986157773114,0.08644240634310019,simulated,simulated,simulated,4
20891,0,1,2,3,4,5,6,6,2,0.6341609076811408,1.6656010802887955,4.224258633290143,0.016482889219464277,0.0891734548160511,simulated,simulated,simulated,4
21135,0,1,2,3,4,5,6,1,7,0.6337355789436012,1.6761690503623081,4.211300942527361,0.0194689723997328,0.09318695141425326,simulated,simulated,simulated,3
20856,0,1,2,3,4,2,5,6,2,0.6335608860201514,1.6688263780013792,4.211300942527361,0.017900101407628675,0.09108781703677216,simulated,simulated,simulated,3
21141,0,1,2,3,4,5,6,7,0,0.633210936914397,1.7063859989847372,4.198382998798193,0.027251591381057913,0.09431444349269458,simulated,simulated,simulated,2
21143,0,1,2,3,4,5,6,7,3,0.6323467224399741,1.71371628869685,4.172665865126976,0.030043416533448542,0.0963692812864878,simulated,simulated,simulated,2
21081,0,1,2,3,4,5,6,6,5,0.631638093383387,1.674350075015664,4.1598664324618815,0.02138226600587962,0.09504242930232454,simulated,simulated,simulated,4
21129,0,1,2,3,4,5,6,2,7,0.631398780532634,1.697586897217753,4.147106261382031,0.027291021515396686,0.09919525750108871,simulated,simulated,simulated,2
21274,6,1,0,5,3,4,2,2,2,0.6307169933785892,1.6615488576486253,4.1343852314545755,0.01934148809882651,0.0969534545614038,"[AM-28]  Musqueam (Salishan, Central Salish)",americas,real,3
20732,0,1,2,3,4,5,6,6,6,0.6307169933785888,1.6615488576486253,4.1343852314545755,0.019341488098827048,0.09695345456140403,simulated,simulated,simulated,3
20901,0,1,2,3,4,2,5,6,5,0.6295316963765609,1.6707098634764799,4.1090601151714585,0.02287887861050945,0.10118084094563351,simulated,simulated,simulated,4
20940,0,1,2,3,4,4,5,6,5,0.629343555133504,1.670066745193137,4.096455789792684,0.022980965549332544,0.10258113745360453,simulated,simulated,simulated,4
21083,0,1,2,3,4,2,5,5,6,0.628477083228473,1.643023443066674,4.083890127517835,0.01729784936951918,0.10071870974388186,simulated,simulated,simulated,4
20656,0,1,2,3,4,4,5,5,6,0.6282889419854165,1.642380324783331,4.083890127517835,0.01732851373066602,0.10084208615950274,simulated,simulated,simulated,4
21110,0,1,2,3,4,1,5,6,7,0.6282144210156626,1.68173206219641,4.071363009749871,0.02712195723229022,0.10688714875270744,simulated,simulated,simulated,2
